全体,,,,,,,
,,,,,,,
,第1四半期,第2四半期,第3四半期,第4四半期,"令和３年度
(A)","令和２年度
(B)","対前年度比
(A-B)"
平均残高,58470,62907,54623,57291,58328,58673,-345
利回り,0.00034,0.00029,0.00035,0.0003,0.00032,0.00035,-0.003
運用収入,49547,45293,47614,42823,185277,205836,20559
