準公営企業会計資金,,合計金額,都市銀行,,信託銀行,,地方銀行等,,外国銀行,
４年度第１四半期,,9352,4112,0.440,2196,0.235,55,0.006,2990,0.320
第２四半期,,8762,3361,0.384,2200,0.251,55,0.006,3146,0.359
第３四半期,,8882,3521,0.396,2224,0.250,55,0.006,3082,0.347
第４四半期,,8873,3590,0.405,2270,0.256,55,0.006,2958,0.333
５年度第１四半期,,8802,3099,0.352,2279,0.259,4,0,3421,0.389
