準公営企業会計資金,,,,,
,,,,,
,"令和４年度
第2四半期(A)","令和４年度
第1四半期(B)","対前期比
(A-B)","（参考）令和３年度
第2四半期(C)","対前年同期比
(A-C)"
平均残高,8762,9352,-590,9007,-245
利回り,0.00007,0.00007,0,0.00008,-0.001
運用収入,1636,1589,47,1738,-102
