準公営企業会計資金,,,,,
,,,,,
,"令和５年度
第2四半期(A)","令和５年度
第1四半期(B)","対前期比
(A-B)","（参考）令和４年度
第2四半期(C)","対前年同期比
(A-C)"
平均残高,8839,8802,37,8762,77
利回り,0.00008,0.00008,0,0.00007,0.001
運用収入,1695,1681,14,1636,59
