全体,,,,,
,,,,,
,"令和２年度
第２四半期(A)","令和２年度
第１四半期(B)","対前期比
(A-B)","（参考）令和元年度
第2四半期(C)","対前年同期比
(A-C)"
平均残高,61345,59950,1395,66476,-5131
利回り,0.00033,0.00037,-0.004,0.00034,-0.001
運用収入,50403,55174,-4771,57630,-7227
