全体,,,,,
,,,,,
,"令和５年度
第1四半期(A)","令和４年度
第4四半期(B)","対前期比
(A-B)","（参考）令和４年度
第1四半期(C)","対前年同期比
(A-C)"
平均残高,58353,61476,-3123,54394,3959
利回り,0.00034,0.00028,0.006,0.00034,0
運用収入,49775,42186,7589,46427,3348
