基金,,,,,
,,,,,
,"令和５年度
第1四半期(A)","令和４年度
第4四半期(B)","対前期比
(A-B)","（参考）令和４年度
第1四半期(C)","対前年同期比
(A-C)"
平均残高,35975,35230,745,35958,17
利回り,0.00053,0.000459774,0.007,0.0005,0.003
運用収入,47702,39940,7762,44562,3140
