全体,,,,,
,,,,,
,"令和５年度
第2四半期(A)","令和５年度
第1四半期(B)","対前期比
(A-B)","（参考）令和４年度
第2四半期(C)","対前年同期比
(A-C)"
平均残高,65252,58353,6899,62323,2929
利回り,0.00031,0.00034,-0.003,0.00027,0.004
運用収入,50522,49775,747,43008,7514
