全体,,,,,
,,,,,
,"令和４年度
第2四半期(A)","令和４年度
第1四半期(B)","対前期比
(A-B)","（参考）令和３年度
第2四半期(C)","対前年同期比
(A-C)"
平均残高,62323,54394,7929,62907,-584
利回り,0.00027,0.00034,-0.007,0.00029,-0.002
運用収入,43008,46427,-3419,45293,-2285
