基金,,,,,
,,,,,
,"令和２年度
第２四半期(A)","令和２年度
第１四半期(B)","対前期比
(A-B)","（参考）令和元年度
第２四半期(C)","対前年同期比
(A-C)"
平均残高,40707,39178,1529,39872,835
利回り,0.00047,0.00053,-0.006,0.00052,-0.005
運用収入,47996,52167,-4171,52251,-4255
