基金,,合計金額,国債,,地方債,,政府保証債,,財投機関債等,,金融債,,外債,
元年度第１四半期,,9443,1614,0.171,3038,0.322,415,0.044,3278,0.347,999,0.106,100,0.011
第２四半期,,9346,1435,0.154,3163,0.338,414,0.044,3384,0.362,849,0.091,100,0.011
第３四半期,,9429,1261,0.134,3372,0.358,404,0.043,3604,0.382,689,0.073,100,0.011
第４四半期,,9628,1190,0.12359784,3455,0.35884919,371,0.038533444,3768,0.391358538,743,0.077170752,100,0.010386373
２年度第１四半期,,9753,1139,0.117,3615,0.371,328,0.034,3817,0.391,754,0.077,100,0.01
第２四半期,,9819,1067,0.109,3743,0.381,322,0.033,3764,0.383,823,0.084,100,0.01
