準公営企業会計資金,,,,,
,,,,,
,"令和２年度
第1四半期(A)","令和元年度
第4四半期(B)","対前期比
(A-B)","（参考）令和元年度
第1四半期(C)","対前年同期比
(A-C)"
平均残高,10056,10282,-226,10342,-286
利回り,0.00008,0.00009,-0.001,0.00006,0.002
運用収入,1944,2256,-312,1634,310
