準公,,,,,,,
,第1四半期,第2四半期,第3四半期,第4四半期,"令和元年度
(A)","平成30年度
(B)","対前年度比
(A-B)"
平均残高,10342,10370,10396,10282,10348,5130,5218
利回り,0.00006,0.00007,0.00008,0.00009,0.00008,0.00008,0.00000
運用収入,1634,1936,2042,2256,7867,3904,3963
