基金,,合計金額,国債,,地方債,,政府保証債,,財投機関債等,,金融債,,外債,
４年度第１四半期,,9862,747,0.076,3852,0.391,75,0.008,3744,0.380,1343,0.136,100,0.010
第２四半期,,9555,673,0.070,3879,0.406,75,0.008,3426,0.359,1402,0.147,100,0.010
第３四半期,,9553,597,0.062,3828,0.401,75,0.008,3491,0.365,1463,0.153,100,0.010
第４四半期,,9496,522,0.055,3761,0.396,75,0.008,3516,0.370,1523,0.160,100,0.011
５年度第１四半期,,9987,448,0.045,3754,0.376,75,0.008,4062,0.407,1548,0.155,100,0.010
