歳計現金等,,,,,
,"令和３年度
第3四半期(A)","令和３年度
第2四半期(B)","対前期比
(A-B)","（参考）令和２年度
第3四半期(C)","対前年同期比
(A-C)"
平均残高,9027,16941,-7914,6152,2875
利回り,0.00001,0.00001,0,0.00002,-0.001
運用収入,245,525,-280,305,-60
