歳計,,,,,,,
,第1四半期,第2四半期,第3四半期,第4四半期,"令和2年度
(A)","令和元年度
(B)","対前年度比
(A-B)"
平均残高,10716,11001,6152,7300,8795,13679,-4884
利回り,0.00004,0.00002,0.00002,0.00002,0.00003,0.00008,-0.005
運用収入,1063,503,305,338,2208,10370,-8162
