公金支出情報（令和２年５月分）,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
局名,部名,課名,支払日,会計名,款名,項名,目名,節・細節名,支払内容（件名）,　　　支払額　（円）　
政策企画局,総務部,総務課,令和02年05月12日,一般会計,総務費,政策企画費,管理費,役務費,少額支払案件に係る前渡金の支出（役務費・５月分）,"5,500 "
政策企画局,総務部,総務課,令和02年05月12日,一般会計,総務費,政策企画費,管理費,需用費 一般需用費,少額支払案件に係る前渡金の支出（一需・５月分）,"46,585 "
政策企画局,総務部,総務課,令和02年05月20日,一般会計,総務費,政策企画費,管理費,需用費 一般需用費,新聞（一般日刊紙）の購入に係る継続支払（４月分）,"50,445 "
政策企画局,総務部,総務課,令和02年05月20日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,鉢付植物の借入れに係る継続支払（４月分）,"32,120 "
政策企画局,総務部,総務課,令和02年05月20日,一般会計,総務費,政策企画費,管理費,役務費,携帯電話料金の支払いについて,"1,768 "
政策企画局,総務部,総務課,令和02年05月22日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,ﾍﾟｰﾊﾟﾚｽ会議ｼｽﾃﾑの借入れに係る支払（4月分）,"363,000 "
政策企画局,総務部,総務課,令和02年05月27日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,AED及び収納ボックスの借入れに係る支払（４月分）,"17,820 "
政策企画局,総務部,総務課,令和02年05月29日,一般会計,総務費,政策企画費,管理費,役務費,ｲﾝﾀｰﾈｯﾄﾌﾟﾛﾊﾞｲﾀﾞ契約に係る継続支払（４月分）,"2,145 "
政策企画局,総務部,総務課,令和02年05月29日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,令和２年第二回都議会定例会に伴う経費の支出について,"160,000 "
政策企画局,総務部,総務課,令和02年05月29日,一般会計,総務費,政策企画費,管理費,需用費 一般需用費,複写ｻｰﾋﾞｽに関する契約（単価契約）に係る支払(4月),"140,848 "
政策企画局,総務部,総務課,令和02年05月29日,一般会計,総務費,政策企画費,管理費,需用費 一般需用費,複写ｻｰﾋﾞｽに関する契約（単価契約）に係る支払(4月),"31,914 "
政策企画局,総務部,総務課,令和02年05月29日,一般会計,総務費,政策企画費,管理費,需用費 一般需用費,複写ｻｰﾋﾞｽに関する契約（単価契約）に係る支払(4月),"39,939 "
政策企画局,総務部,総務課,令和02年05月29日,一般会計,総務費,政策企画費,管理費,需用費 一般需用費,複写ｻｰﾋﾞｽに関する契約（単価契約）に係る支払(4月),"97,700 "
政策企画局,総務部,秘書課,令和02年05月11日,一般会計,総務費,政策企画費,管理費,役務費,電話料金の払込みについて(非常通報装置)(４月分),"5,394 "
政策企画局,総務部,秘書課,令和02年05月12日,一般会計,総務費,政策企画費,管理費,役務費,複数の少額支払案件に係る前渡金の支出(５月分),"12,106 "
政策企画局,総務部,秘書課,令和02年05月12日,一般会計,総務費,政策企画費,管理費,需用費 一般需用費,複数の少額支払案件に係る前渡金の支出(５月分),"134,148 "
