基金,,,,,
,,,,,
,"令和４年度
第3四半期(A)","令和４年度
第2四半期(B)","対前期比
(A-B)","（参考）令和３年度
第3四半期(C)","対前年同期比
(A-C)"
平均残高,35720,36252,-532,36538,-818
利回り,0.0005,0.00044,0.006,0.0005,0
運用収入,44838,40651,4187,45687,-849
