準公営企業会計資金,,合計金額,都市銀行,,信託銀行,,地方銀行等,,外国銀行,
３年度第１四半期,,8801,3529,0.401,2145,0.244,55,0.006,3072,0.349
第２四半期,,9007,3481,0.386,2145,0.238,55,0.006,3326,0.369
第３四半期,,9058,3682,0.406,2163,0.239,55,0.006,3158,0.349
第４四半期,,9060,3854,0.425,2153,0.238,55,0.006,2997,0.331
４年度第１四半期,,9352,4112,0.44,2196,0.235,55,0.006,2990,0.32
第２四半期,,8762,3361,0.384,2200,0.251,55,0.006,3146,0.359
