準公営企業会計資金,,,,,
,,,,,
,"令和３年度
第3四半期(A)","令和３年度
第2四半期(B)","対前期比
(A-B)","（参考）令和２年度
第3四半期(C)","対前年同期比
(A-C)"
平均残高,9058,9007,51,9501,-443
利回り,0.00007,0.00008,-0.001,0.00008,-0.001
運用収入,1682,1738,-56,1979,-297
