歳計現金等,,,,,
,"令和3年度
第1四半期(A)","令和2年度
第4四半期(B)","対前期比
(A-B)","（参考）令和2年度
第1四半期(C)","対前年同期比
(A-C)"
平均残高,9332,7300,2032,10716,-1384
利回り,0.00001,0.00002,-0.001,0.00004,-0.003
運用収入,259,338,-79,1063,-804
