歳計,,,,,,,
,第1四半期,第2四半期,第3四半期,第4四半期,"令和元年度
(A)","平成30年度
(B)","対前年度比
(A-B)"
平均残高,9212,16234,13323,15921,13679,14392,-713
利回り,0.00004,0.00008,0.00009,0.00008,0.00008,0.00008,0.00000
運用収入,897,3443,2897,3132,10370,11701,-1331
