準公営企業会計資金,,,,,
,,,,,
,"令和４年度
第3四半期(A)","令和４年度
第2四半期(B)","対前期比
(A-B)","（参考）令和３年度
第3四半期(C)","対前年同期比
(A-C)"
平均残高,8882,8762,120,9058,-176
利回り,0.00007,0.00007,0,0.00007,0
運用収入,1657,1636,21,1682,-25
