"年度","応募者数 第１回[人]","応募者数 第２回[人]","採用者数 第１回[人]","採用者数 第２回[人]","奨学生数[人]","奨学金貸付金額[円]","入学祝金支給額[円]","返済金額[円]"
"2013","36","2","30","2","108","57351000","360000","37861000"
"2014","39","2","39","2","110","54798000","460000","36376000"
"2015","35","0","35","0","99","49982000","220000","34471000"
"2016","28","2","28","2","90","45216000","320000","39624000"
"2017","40","0","40","0","86","45456000","240000","35220000"

"平成30年度港区行政資料集　奨学資金貸付状況","Ver201803",,,,,,,
