地域階層,地域コード,区市町村,事業所数／平成31年・令和元年／実数,事業所数／平成31年・令和元年／構成比(％),事業所数／平成31年・令和元年／増減数,事業所数／平成31年・令和元年／増減率(％),事業所数／平成30年／実数,事業所数／平成30年／構成比(％),従業者数(送出者を除く)／平成31年・令和元年／実数(人),従業者数(送出者を除く)／平成31年・令和元年／構成比(％),従業者数(送出者を除く)／平成31年・令和元年／増減数(人),従業者数(送出者を除く)／平成31年・令和元年／増減率(％),従業者数(送出者を除く)／平成30年／実数(人),従業者数(送出者を除く)／平成30年／構成比(％),製造品出荷額等／平成31年・令和元年／金額(万円),製造品出荷額等／平成31年・令和元年／構成比(％),製造品出荷額等／平成31年・令和元年／増減額(万円),製造品出荷額等／平成31年・令和元年／増減率(％),製造品出荷額等／平成30年／金額(万円),製造品出荷額等／平成30年／構成比(％),付加価値額注／平成31年・令和元年／金額(万円),付加価値額注／平成31年・令和元年／構成比(％),付加価値額注／平成31年・令和元年／増減額(万円),付加価値額注／平成31年・令和元年／増減率(％),付加価値額注／平成30年／金額(万円),付加価値額注／平成30年／構成比(％)
0,13000,総数,9887,100,17,0.2,9870,100,245851,100,-1044,-0.4,246895,100,716075539,100,-41691408,-5.5,757766947,100,281606971,100,-25822085,-8.4,307429056,100
1,13100,区部,7450,75.4,25,0.3,7425,75.2,134553,54.7,-247,-0.2,134800,54.6,292750069,40.9,638771,0.2,292111298,38.5,123435998,43.8,-57931,-0.047,123493929,40.2
2,13101,千代田区,82,0.8,-2,-2.4,84,0.9,2074,0.8,34,1.7,2040,0.8,4211110,0.6,-69240,-1.6,4280350,0.6,1791880,0.6,-66288,-3.6,1858168,0.6
2,13102,中央区,106,1.1,-2,-1.9,108,1.1,1909,0.8,70,3.8,1839,0.7,3238608,0.5,42899,1.3,3195709,0.4,1407911,0.5,-13214,-0.9,1421125,0.5
2,13103,港区,80,0.8,8,11.1,72,0.7,1197,0.5,35,3,1162,0.5,2667558,0.4,-369974,-12.2,3037532,0.4,1060117,0.4,-205324,-16.2,1265441,0.4
2,13104,新宿区,224,2.3,-9,-3.9,233,2.4,5054,2.1,-374,-6.9,5428,2.2,10125240,1.4,-364738,-3.5,10489978,1.4,4489794,1.6,-43487,-1,4533281,1.5
2,13105,文京区,209,2.1,6,3,203,2.1,4747,1.9,-80,-1.7,4827,2,9268679,1.3,524248,6,8744431,1.2,4009288,1.4,174957,4.6,3834331,1.2
2,13106,台東区,337,3.4,3,0.9,334,3.4,3547,1.4,49,1.4,3498,1.4,6007949,0.8,61834,1,5946115,0.8,2506109,0.9,99207,4.1,2406902,0.8
2,13107,墨田区,645,6.5,-21,-3.2,666,6.7,12109,4.9,1,0,12108,4.9,29516246,4.1,11393,0,29504853,3.9,14632220,5.2,-48039,-0.3,14680259,4.8
2,13108,江東区,452,4.6,14,3.2,438,4.4,8783,3.6,-23,-0.3,8806,3.6,26545003,3.7,-703684,-2.6,27248687,3.6,11513844,4.1,-521382,-4.3,12035226,3.9
2,13109,品川区,327,3.3,19,6.2,308,3.1,5429,2.2,251,4.8,5178,2.1,10630324,1.5,726932,7.3,9903392,1.3,4925372,1.7,78158,1.6,4847214,1.6
2,13110,目黒区,118,1.2,1,0.9,117,1.2,2447,1,-86,-3.4,2533,1,4830157,0.7,-12191,-0.3,4842348,0.6,2055969,0.7,76023,3.8,1979946,0.6
2,13111,大田区,1162,11.8,11,1,1151,11.7,19288,7.8,306,1.6,18982,7.7,44240404,6.2,2114711,5,42125693,5.6,18004938,6.4,569807,3.3,17435131,5.7
2,13112,世田谷区,125,1.3,-4,-3.1,129,1.3,1887,0.8,21,1.1,1866,0.8,3726011,0.5,-113123,-2.9,3839134,0.5,1656439,0.6,3918,0.2,1652521,0.5
2,13113,渋谷区,38,0.4,-4,-9.5,42,0.4,808,0.3,-78,-8.8,886,0.4,1481059,0.2,-44072,-2.9,1525131,0.2,689825,0.2,-36873,-5.1,726698,0.2
2,13114,中野区,58,0.6,-1,-1.7,59,0.6,762,0.3,-37,-4.6,799,0.3,1129916,0.2,-190379,-14.4,1320295,0.2,577258,0.2,-14247,-2.4,591505,0.2
2,13115,杉並区,81,0.8,-9,-10,90,0.9,962,0.4,-303,-24,1265,0.5,2050172,0.3,-239477,-10.5,2289649,0.3,829271,0.3,-140311,-14.5,969582,0.3
2,13116,豊島区,114,1.2,-3,-2.6,117,1.2,2002,0.8,-158,-7.3,2160,0.9,3977450,0.6,-197511,-4.7,4174961,0.6,1927264,0.7,-127288,-6.2,2054552,0.7
2,13117,北区,234,2.4,10,4.5,224,2.3,9533,3.9,994,11.6,8539,3.5,18536471,2.6,1012659,5.8,17523812,2.3,7650415,2.7,34816,0.5,7615599,2.5
2,13118,荒川区,372,3.8,-12,-3.1,384,3.9,5072,2.1,-57,-1.1,5129,2.1,8100757,1.1,-295350,-3.5,8396107,1.1,3502720,1.2,121258,3.6,3381462,1.1
2,13119,板橋区,570,5.8,11,2,559,5.7,14208,5.8,-373,-2.6,14581,5.9,33808928,4.7,-1453025,-4.1,35261953,4.7,13444524,4.8,-645153,-4.6,14089677,4.6
2,13120,練馬区,153,1.5,-6,-3.8,159,1.6,2900,1.2,-14,-0.5,2914,1.2,6448777,0.9,-39034,-0.6,6487811,0.9,2606010,0.9,-43988,-1.7,2649998,0.9
2,13121,足立区,717,7.3,18,2.6,699,7.1,12343,5,-91,-0.7,12434,5,25356939,3.5,821606,3.3,24535333,3.2,9794412,3.5,665058,7.3,9129354,3
2,13122,葛飾区,618,6.3,-3,-0.5,621,6.3,8351,3.4,-219,-2.6,8570,3.5,17075668,2.4,-242390,-1.4,17318058,2.3,6367468,2.3,-74155,-1.2,6441623,2.1
2,13123,江戸川区,628,6.4,0,0,628,6.4,9141,3.7,-115,-1.2,9256,3.7,19776643,2.8,-343323,-1.7,20119966,2.7,7992950,2.8,98616,1.2,7894334,2.6
1,13200,市部,2143,21.7,5,0.2,2138,21.7,102634,41.7,-606,-0.6,103240,41.8,366301457,51.2,-35061532,-8.7,401362989,53,123388920,43.8,-27290280,-18.1,150679200,49
2,13201,八王子市,512,5.2,9,1.8,503,5.1,16190,6.6,667,4.3,15523,6.3,39361035,5.5,-696083,-1.7,40057118,5.3,17826925,6.3,-1503836,-7.8,19330761,6.3
2,13202,立川市,76,0.8,1,1.3,75,0.8,3765,1.5,-58,-1.5,3823,1.5,10820995,1.5,936894,9.5,9884101,1.3,3608203,1.3,457132,14.5,3151071,1
2,13203,武蔵野市,25,0.3,0,0,25,0.3,333,0.1,-14,-4,347,0.1,486286,0.1,-26715,-5.2,513001,0.1,257364,0.1,-5003,-1.9,262367,0.1
2,13204,三鷹市,66,0.7,-5,-7,71,0.7,1342,0.5,-269,-16.7,1611,0.7,2903338,0.4,-249185,-7.9,3152523,0.4,1284049,0.5,-88849,-6.5,1372898,0.4
2,13205,青梅市,220,2.2,-5,-2.2,225,2.3,7080,2.9,-73,-1,7153,2.9,17318119,2.4,-1563515,-8.3,18881634,2.5,5779179,2.1,-474133,-7.6,6253312,2
2,13206,府中市,114,1.2,4,3.6,110,1.1,13100,5.3,142,1.1,12958,5.2,72759743,10.2,-4289796,-5.6,77049539,10.2,19580074,7,-6283792,-24.3,25863866,8.4
2,13207,昭島市,113,1.1,-3,-2.6,116,1.2,9801,4,-28,-0.3,9829,4,45310876,6.3,-5356094,-10.6,50666970,6.7,20418717,7.3,-1793492,-8.1,22212209,7.2
2,13208,調布市,77,0.8,-6,-7.2,83,0.8,2006,0.8,-43,-2.1,2049,0.8,4702536,0.7,-177416,-3.6,4879952,0.6,2167641,0.8,-118930,-5.2,2286571,0.7
2,13209,町田市,134,1.4,3,2.3,131,1.3,4853,2,237,5.1,4616,1.9,10586435,1.5,-660781,-5.9,11247216,1.5,4319482,1.5,354452,8.9,3965030,1.3
2,13210,小金井市,15,0.2,1,7.1,14,0.1,335,0.1,15,4.7,320,0.1,412710,0.1,23992,6.2,388718,0.1,206963,0.1,20338,10.9,186625,0.1
2,13211,小平市,66,0.7,0,0,66,0.7,3165,1.3,102,3.3,3063,1.2,10809646,1.5,714347,7.1,10095299,1.3,2697240,1,-113887,-4.1,2811127,0.9
2,13212,日野市,58,0.6,-1,-1.7,59,0.6,11496,4.7,-596,-4.9,12092,4.9,32334530,4.5,-4172877,-11.4,36507407,4.8,12933911,4.6,-542122,-4,13476033,4.4
2,13213,東村山市,80,0.8,4,5.3,76,0.8,3146,1.3,-3,-0.1,3149,1.3,7846229,1.1,-1038132,-11.7,8884361,1.2,3266385,1.2,-788660,-19.4,4055045,1.3
2,13214,国分寺市,21,0.2,-4,-16,25,0.3,917,0.4,-53,-5.5,970,0.4,1809644,0.3,-140963,-7.2,1950607,0.3,872000,0.3,-55337,-6,927337,0.3
2,13215,国立市,19,0.2,1,5.6,18,0.2,353,0.1,-4,-1.1,357,0.1,380495,0.1,-24563,-6.1,405058,0.1,195786,0.1,-13739,-6.6,209525,0.1
2,13218,福生市,39,0.4,3,8.3,36,0.4,1103,0.4,-2,-0.2,1105,0.4,2065062,0.3,913,0,2064149,0.3,947406,0.3,41808,4.6,905598,0.3
2,13219,狛江市,24,0.2,3,14.3,21,0.2,421,0.2,20,5,401,0.2,843800,0.1,-362804,-30.1,1206604,0.2,282380,0.1,-105301,-27.2,387681,0.1
2,13220,東大和市,35,0.4,-3,-7.9,38,0.4,1254,0.5,42,3.5,1212,0.5,8062770,1.1,-227411,-2.7,8290181,1.1,2095942,0.7,-394568,-15.8,2490510,0.8
2,13221,清瀬市,19,0.2,-1,-5,20,0.2,1027,0.4,77,8.1,950,0.4,1987526,0.3,84229,4.4,1903297,0.3,848564,0.3,-12635,-1.5,861199,0.3
2,13222,東久留米市,49,0.5,1,2.1,48,0.5,3524,1.4,111,3.3,3413,1.4,13949013,1.9,-589256,-4.1,14538269,1.9,4853833,1.7,-177757,-3.5,5031590,1.6
2,13223,武蔵村山市,123,1.2,3,2.5,120,1.2,4125,1.7,-319,-7.2,4444,1.8,9508947,1.3,-238061,-2.4,9747008,1.3,4158435,1.5,60082,1.5,4098353,1.3
2,13224,多摩市,22,0.2,1,4.8,21,0.2,925,0.4,47,5.4,878,0.4,2530027,0.4,217326,9.4,2312701,0.3,1120739,0.4,74922,7.2,1045817,0.3
2,13225,稲城市,61,0.6,-1,-1.6,62,0.6,1699,0.7,-74,-4.2,1773,0.7,2638535,0.4,-226522,-7.9,2865057,0.4,969409,0.3,-234255,-19.5,1203664,0.4
2,13227,羽村市,69,0.7,1,1.5,68,0.7,7579,3.1,-693,-8.4,8272,3.4,60123895,8.4,-16060938,-21.1,76184833,10.1,9928054,3.5,-14932266,-60.1,24860320,8.1
2,13228,あきる野市,73,0.7,-4,-5.2,77,0.8,2020,0.8,57,2.9,1963,0.8,3677418,0.5,-942616,-20.4,4620034,0.6,1517201,0.5,-481010,-24.1,1998211,0.6
2,13229,西東京市,33,0.3,3,10,30,0.3,1075,0.4,106,10.9,969,0.4,3071847,0.4,4495,0.1,3067352,0.4,1253038,0.4,-179442,-12.5,1432480,0.5
1,13300,郡部,260,2.6,-9,-3.3,269,2.7,8392,3.4,-131,-1.5,8523,3.5,56790450,7.9,-7226993,-11.3,64017443,8.4,34673501,12.3,1543352,4.7,33130149,10.8
2,13303,瑞穂町,197,2,-10,-4.8,207,2.1,6536,2.7,-150,-2.2,6686,2.7,51949848,7.3,-7235405,-12.2,59185253,7.8,32971249,11.7,1291148,4.1,31680101,10.3
2,13305,日の出町,49,0.5,0,0,49,0.5,1706,0.7,10,0.6,1696,0.7,4669744,0.7,-1335,-0.03,4671079,0.6,1613389,0.6,239672,17.4,1373717,0.4
2,13307,檜原村,6,0.1,1,20,5,0.1,83,0,20,31.7,63,0,113373,0,9451,9.1,103922,0,54009,0,12717,30.8,41292,0
2,13308,奥多摩町,8,0.1,0,0,8,0.1,67,0,-11,-14.1,78,0,57485,0,296,0.5,57189,0,34854,0,-185,-0.5,35039,0
1,13350,島部,34,0.3,-4,-10.5,38,0.4,272,0.1,-60,-18.1,332,0.1,233563,0,-41654,-15.1,275217,0,108552,0,-17226,-13.7,125778,0
2,13361,大島町,9,0.1,1,12.5,8,0.1,80,0,-2,-2.4,82,0,40536,0,286,0.7,40250,0,20810,0,114,0.6,20696,0
2,13362,利島村,2,0,0,0,2,0,11,0,2,22.2,9,0,x,x,x,x,x,x,x,x,x,x,x,x
2,13363,新島村,9,0.1,0,0,9,0.1,64,0,-5,-7.2,69,0,38509,0,-2767,-6.7,41276,0,25826,0,-3569,-12.1,29395,0
2,13364,神津島村,1,0,-1,-50,2,0,5,0,-12,-70.6,17,0,x,x,x,x,x,x,x,x,x,x,x,x
2,13381,三宅村,2,0,-1,-33.3,3,0,19,0,-6,-24,25,0,x,x,x,x,36432,0,x,x,x,x,9954,0
2,13382,御蔵島村,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
