産業分類階層,産業コード,産業中分類,経営組織階層,経営組織コード,経営組織,資本金階層,資本金規模コード,資本金額,事業所数,従業者数（送出者を除く）(人),現金給与総額(万円),原材料使用額等(万円),製造品出荷額等／総額(万円),製造品出荷額等／製造品出荷額(万円),製造品出荷額等／加工賃収入額(万円),製造品出荷額等／修理料収入額(万円),製造品出荷額等／くず・廃物出荷額(万円),製造品出荷額等／その他の収入額(万円),付加価値額(29人以下は粗付加価値額)(万円),粗付加価値額(万円),生産額(30人以上)(万円),在庫額（30人以上）／製造品／年初(万円),在庫額（30人以上）／製造品／年末(万円),在庫額（30人以上）／半製品及び仕掛品／年初(万円),在庫額（30人以上）／半製品及び仕掛品／年末(万円),在庫額（30人以上）／原材料及び燃料／年初(万円),在庫額（30人以上）／原材料及び燃料／年末(万円),有形固定資産額（30人以上）／年初現在高(万円),有形固定資産額（30人以上）／取得額(万円),有形固定資産額（30人以上）／除却額(万円),有形固定資産額（30人以上）／減価償却額(万円)
0,00,総数,0,0,総数,0,00,総数,9887,245851,119096804,403046338,716075539,630529261,39682928,3245245,97866,42520239,281606971,292876065,522576074,18319518,20306200,53256854,55480763,21090577,22735059,149579915,19397702,2714242,15479685
0,00,総数,1,1,会社,0,00,総数,9589,241719,117185962,401289251,708941724,624410188,39032086,3243491,97815,42158144,277146407,287894207,516917598,17935098,19910080,52859888,55141958,20997095,22626067,138462067,18999195,2635570,15004852
0,00,総数,1,1,会社,1,01,200万円未満,68,568,181216,223815,549744,366728,153245,381,90,29300,295666,295666,-,x,x,x,x,-,-,-,x,x,-
0,00,総数,1,1,会社,1,02,200万円～299万円,22,146,46254,54502,138046,76641,x,-,x,12478,76738,76738,-,-,-,-,-,-,-,-,-,-,-
0,00,総数,1,1,会社,1,03,300万円～499万円,1900,15178,5147942,6611962,16631851,11549218,4624333,39205,3557,415538,9225917,9251407,779605,18015,16312,3872,3603,4831,4667,261222,107262,413,23518
0,00,総数,1,1,会社,1,04,500万円～999万円,784,7244,2664699,4190721,9155797,6469777,2353521,27981,3177,301341,4569306,4589061,1048595,7057,7455,18367,19419,17583,18401,466941,141096,2163,21205
0,00,総数,1,1,会社,1,05,1000万円～4999万円,5890,104900,44326264,97539429,192259432,158674152,21432038,1144409,58872,10949961,86381070,87853208,79494610,2458832,2731922,2548862,2717965,3995707,3968182,30059615,3212309,571312,1914331
0,00,総数,1,1,会社,1,06,5000万円～9999万円,553,28554,12909611,45030427,76287998,65992918,3942583,516614,12282,5823601,27996225,29213228,58797979,1879347,1948221,2965846,3809626,2076948,2345892,21873522,2112009,575363,2129657
0,00,総数,1,1,会社,1,07,1億円～10億円未満,250,31416,15973202,51465916,89714148,78320556,5993887,530617,19279,4849809,33871061,36073496,76599823,2135557,2130713,5519037,5669465,3266928,3481312,25168772,3081765,458071,2348019
0,00,総数,1,1,会社,1,08,10億円～100億円未満,77,16414,10751523,48659355,81453883,69235734,483552,984284,22,10750291,30566916,31784200,66921867,2472030,3248908,6075329,6284500,3937365,4534834,25903885,2139145,448771,2203333
