地域階層,地域コード,地域,従業者規模階層,従業者規模コード,従業者規模,事業所数,従業者数(送出者を除く）／総数(人),従業者数(送出者を除く）／うち男(人),送出者（人）,常用労働者／総数(人),常用労働者／うち男(人),個人業主及び無給家族従業者(人),現金給与総額(万円),原材料使用額等(万円),製造品出荷額等／総額(万円),製造品出荷額等／製造品出荷額(万円),製造品出荷額等／加工賃収入額(万円),製造品出荷額等／修理料収入額(万円),製造品出荷額等／くず・廃物出荷額(万円),製造品出荷額等／その他の収入額(万円),付加価値額(29人以下は粗付加価値額)(万円),粗付加価値額(万円),有形固定資産額（30人以上）／年初現在高(万円),有形固定資産額（30人以上）／取得額(万円),有形固定資産額（30人以上）／除却額(万円),有形固定資産額（30人以上）／減価償却額(万円)
0,13000,東京都,0,00,総数,9887,245851,171979,3308,248811,174599,348,119096804,403046338,716075539,630529261,39682928,3245245,97866,42520239,281606971,292876065,149579915,19397702,2714242,15479685
0,13000,東京都,1,01,4～9人,4888,29519,19085,51,29235,18871,335,10445465,17786708,38290702,28714904,7875425,179051,10465,1510857,18913254,18913254,…,…,…,…
0,13000,東京都,1,02,10～19人,2542,34266,23093,158,34411,23229,13,13827687,32330927,62297060,49906289,9042359,351585,9567,2987260,27678343,27678343,…,…,…,…
0,13000,東京都,1,03,20～29人,1104,26736,18287,244,26980,18478,-,11584214,33502969,59788244,50220615,6087114,392483,34380,3053652,24321115,24321115,…,…,…,…
0,13000,東京都,1,04,30～49人,608,23600,16444,139,23739,16569,-,10820844,26713950,51244334,43881853,3634749,280182,6719,3440831,21835499,22923917,20164236,2155534,409124,1270465
0,13000,東京都,1,05,50～99人,449,30651,21236,249,30900,21453,-,14218843,43246674,78544308,65927815,6354002,844305,23608,5394578,31267028,33055386,30782960,2623270,541590,1958269
0,13000,東京都,1,06,100～199人,184,24828,17255,287,25115,17463,-,12060382,41424133,74691009,65332494,3688353,840270,10608,4819284,27528421,29250962,25595231,3003352,620860,2077239
0,13000,東京都,1,07,200～299人,37,9160,6541,131,9291,6663,-,4882455,19302172,30267476,27620170,x,120329,x,2447990,9863533,10424872,7136395,1116702,174580,738835
0,13000,東京都,1,08,300～499人,32,12005,7782,136,12141,7910,-,6040354,25254239,39312604,37419982,x,81276,x,994133,12616291,13450308,16028912,1176714,279157,1297125
0,13000,東京都,1,09,500～999人,24,15727,10631,495,16222,11059,-,8315974,30598269,49855291,46843244,x,x,x,2507365,16558817,19048532,19133063,1785523,122911,2548331
