従業者規模,総数／事業所数／実数,総数／事業所数／構成比(％),総数／従業者数／実数(人),総数／従業者数／構成比(％),9食料品／事業所数／実数,9食料品／事業所数／構成比(％),9食料品／従業者数／実数(人),9食料品／従業者数／構成比(％),10飲料・飼料等／事業所数／実数,10飲料・飼料等／事業所数／構成比(％),10飲料・飼料等／従業者数／実数(人),10飲料・飼料等／従業者数／構成比(％),11繊維工業／事業所数／実数,11繊維工業／事業所数／構成比(％),11繊維工業／従業者数／実数(人),11繊維工業／従業者数／構成比(％),12木材・木製品／事業所数／実数,12木材・木製品／事業所数／構成比(％),12木材・木製品／従業者数／実数(人),12木材・木製品／従業者数／構成比(％),13家具・装備品／事業所数／実数,13家具・装備品／事業所数／構成比(％),13家具・装備品／従業者数／実数(人),13家具・装備品／従業者数／構成比(％),14紙・紙加工品／事業所数／実数,14紙・紙加工品／事業所数／構成比(％),14紙・紙加工品／従業者数／実数(人),14紙・紙加工品／従業者数／構成比(％),15印刷・同関連業／事業所数／実数,15印刷・同関連業／事業所数／構成比(％),15印刷・同関連業／従業者数／実数(人),15印刷・同関連業／従業者数／構成比(％),16化学工業／事業所数／実数,16化学工業／事業所数／構成比(％),16化学工業／従業者数／実数(人),16化学工業／従業者数／構成比(％),17石油・石炭／事業所数／実数,17石油・石炭／事業所数／構成比(％),17石油・石炭／従業者数／実数(人),17石油・石炭／従業者数／構成比(％),18プラスチック／事業所数／実数,18プラスチック／事業所数／構成比(％),18プラスチック／従業者数／実数(人),18プラスチック／従業者数／構成比(％),19ゴム製品／事業所数／実数,19ゴム製品／事業所数／構成比(％),19ゴム製品／従業者数／実数(人),19ゴム製品／従業者数／構成比(％),20皮革・同製品／事業所数／実数,20皮革・同製品／事業所数／構成比(％),20皮革・同製品／従業者数／実数(人),20皮革・同製品／従業者数／構成比(％),21窯業・土石／事業所数／実数,21窯業・土石／事業所数／構成比(％),21窯業・土石／従業者数／実数(人),21窯業・土石／従業者数／構成比(％),22鉄鋼業／事業所数／実数,22鉄鋼業／事業所数／構成比(％),22鉄鋼業／従業者数／実数(人),22鉄鋼業／従業者数／構成比(％),23非鉄金属／事業所数／実数,23非鉄金属／事業所数／構成比(％),23非鉄金属／従業者数／実数(人),23非鉄金属／従業者数／構成比(％),24金属製品／事業所数／実数,24金属製品／事業所数／構成比(％),24金属製品／従業者数／実数(人),24金属製品／従業者数／構成比(％),25はん用機械／事業所数／実数,25はん用機械／事業所数／構成比(％),25はん用機械／従業者数／実数(人),25はん用機械／従業者数／構成比(％),26生産用機械／事業所数／実数,26生産用機械／事業所数／構成比(％),26生産用機械／従業者数／実数(人),26生産用機械／従業者数／構成比(％),27業務用機械／事業所数／実数,27業務用機械／事業所数／構成比(％),27業務用機械／従業者数／実数(人),27業務用機械／従業者数／構成比(％),28電子・デバイス／事業所数／実数,28電子・デバイス／事業所数／構成比(％),28電子・デバイス／従業者数／実数(人),28電子・デバイス／従業者数／構成比(％),29電気機械／事業所数／実数,29電気機械／事業所数／構成比(％),29電気機械／従業者数／実数(人),29電気機械／従業者数／構成比(％),30情報通信機械／事業所数／実数,30情報通信機械／事業所数／構成比(％),30情報通信機械／従業者数／実数(人),30情報通信機械／従業者数／構成比(％),31輸送用機械／事業所数／実数,31輸送用機械／事業所数／構成比(％),31輸送用機械／従業者数／実数(人),31輸送用機械／従業者数／構成比(％),32その他／事業所数／実数,32その他／事業所数／構成比(％),32その他／従業者数／実数(人),32その他／従業者数／構成比(％)
総数,9887,100,245851,100,681,100,29400,100,40,100,1175,100,365,100,4148,100,55,100,555,100,202,100,3236,100,371,100,5635,100,1698,100,41599,100,199,100,10713,100,16,100,318,100,578,100,7779,100,184,100,2470,100,208,100,3376,100,181,100,3643,100,102,100,2681,100,118,100,2461,100,1392,100,17552,100,336,100,7392,100,943,100,16754,100,488,100,13083,100,246,100,9760,100,570,100,23903,100,113,100,8092,100,267,100,20539,100,534,100,9587,100
4～29人,8534,86.3,90521,36.8,508,74.6,6099,20.7,33,82.5,485,41.3,349,95.6,3243,78.2,53,96.4,456,82.2,186,92.1,1507,46.6,335,90.3,3395,60.2,1428,84.1,14793,35.6,136,68.3,1790,16.7,14,87.5,215,67.6,534,92.4,5563,71.5,173,94,1773,71.8,190,91.3,1890,56,163,90.1,2132,58.5,87,85.3,957,35.7,102,86.4,1113,45.2,1309,94,12779,72.8,290,86.3,2955,40,840,89.1,9046,54,397,81.4,4588,35.1,194,78.9,2388,24.5,454,79.6,5229,21.9,80,70.8,1110,13.7,203,76,2299,11.2,476,89.1,4716,49.2
30～299人,1278,12.9,88239,35.9,152,22.3,12517,42.6,7,17.5,690,58.7,16,4.4,905,21.8,2,3.6,99,17.8,15,7.4,807,24.9,36,9.7,2240,39.8,258,15.2,17683,42.5,59,29.6,4522,42.2,2,12.5,103,32.4,44,7.6,2216,28.5,11,6,697,28.2,17,8.2,866,25.7,18,9.9,1511,41.5,14,13.7,1344,50.1,15,12.7,929,37.7,82,5.9,4462,25.4,43,12.8,2889,39.1,101,10.7,6234,37.2,86,17.6,5692,43.5,48,19.5,3305,33.9,106,18.6,7502,31.4,30,26.5,2696,33.3,59,22.1,4617,22.5,57,10.7,3713,38.7
300～999人,56,0.6,27732,11.3,20,2.9,9408,32,-,-,-,-,-,-,-,-,-,-,-,-,1,0.5,922,28.5,-,-,-,-,8,0.5,3514,8.4,3,1.5,1559,14.6,-,-,-,-,-,-,-,-,-,-,-,-,1,0.5,620,18.4,-,-,-,-,1,1,380,14.2,1,0.8,419,17,1,0.1,311,1.8,3,0.9,1548,20.9,1,0.1,314,1.9,5,1,2803,21.4,2,0.8,1117,11.4,6,1.1,3039,12.7,1,0.9,849,10.5,2,0.7,929,4.5,-,-,-,-
1000人以上,19,0.2,39359,16,1,0.1,1376,4.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,0.2,5609,13.5,1,0.5,2842,26.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.1,1160,6.9,-,-,-,-,2,0.8,2950,30.2,4,0.7,8133,34,2,1.8,3437,42.5,3,1.1,12694,61.8,1,0.2,1158,12.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020東京の工業　2020年工業統計調査報告（2019年実績）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
付表14　産業中分類、従業者規模別事業所数及び従業者数（従業者４人以上）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注）従業者数は送出者を除く。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
