地域階層,地域コード,地域,従業者規模階層,従業者規模コード,従業者規模,事業所数,生産額(万円),在庫額／製造品／年初(万円),在庫額／製造品／年末(万円),在庫額／半製品及び仕掛品／年初(万円),在庫額／半製品及び仕掛品／年末(万円),在庫額／原材料及び燃料／年初(万円),在庫額／原材料及び燃料／年末(万円),有形固定資産額／年初現在高／土地(万円),有形固定資産額／年初現在高／土地以外(万円),有形固定資産額／取得額／土地(万円),有形固定資産額／取得額／土地以外／計(万円),有形固定資産額／取得額／土地以外／建物等(万円),有形固定資産額／取得額／土地以外／機械等(万円),有形固定資産額／取得額／土地以外／備品等(万円),有形固定資産額／除却額／土地(万円),有形固定資産額／除却額／土地以外(万円),有形固定資産額／減価償却額(万円),有形固定資産額／建設仮勘定／増(万円),有形固定資産額／建設仮勘定／減(万円),有形固定資産額／建設仮勘定／差引増減(万円),有形固定資産額／投資総額(万円)
0,13000,東京都,0,00,総数,1353,522576074,18319518,20306200,53256854,55480763,21090577,22735059,55560178,94019737,1862636,17535066,4738937,7955157,4840972,480904,2233338,15479685,11946435,9896747,2049688,21447390
0,13000,東京都,1,01,30～49人,608,47698649,1538379,1622600,2070061,2167887,2301460,2126443,10750114,9414122,434615,1720919,653883,834477,232559,92943,316181,1270465,344246,260687,83559,2239093
0,13000,東京都,1,02,50～99人,449,72451728,2417852,2506433,3208080,3289410,3403194,3549251,14903167,15879793,262178,2361092,806769,1129783,424540,222382,319208,1958269,885667,679992,205675,2828945
0,13000,東京都,1,03,100～199人,184,69375545,1684468,1958331,3972892,4053727,3228907,3484867,11626598,13968633,346305,2657047,979124,1239791,438132,149454,471406,2077239,793623,1216997,-423374,2579978
0,13000,東京都,1,04,200～299人,37,27876653,1012165,1068733,1412078,1533006,941750,1074537,2150848,4985547,x,1116702,457419,531022,128261,x,174482,738835,770312,818468,-48156,x
0,13000,東京都,1,05,300～499人,32,38700303,1435184,1652901,2213222,2458613,851745,920222,6800900,9228012,94714,1082000,164825,653221,263954,12226,266931,1297125,558053,552434,5619,1182333
0,13000,東京都,1,06,500～999人,24,47248259,1896309,1445552,6649487,7158860,4692263,5503994,4149994,14983069,x,1775350,602231,901630,271489,1601,121310,2548331,1302544,1104071,198473,x
0,13000,東京都,1,07,1000人以上,19,219224937,8335161,10051650,33731034,34819260,5671258,6075745,5178557,25560561,714651,6821956,1074686,2665233,3082037,x,563820,5589421,7291990,5264098,2027892,9564499
1,13100,区部,0,00,総数,806,157984450,5809007,6368302,5515646,6045130,5569988,5984261,33724708,38251128,544995,6032899,2138842,2897515,996542,364025,1111793,5356567,2714768,2747511,-32743,6545151
1,13100,区部,1,01,30～49人,402,31952495,904859,940888,967187,1075702,1232190,1104096,7646082,6628151,341891,1095824,437002,509909,148913,63669,170574,852388,192604,141442,51162,1488877
1,13100,区部,1,02,50～99人,279,44520422,1730272,1839650,1504010,1392147,1970705,1966267,9925584,11194351,101999,1539702,593650,699429,246623,154370,255328,1324141,565507,518095,47412,1689113
1,13100,区部,1,03,100～199人,87,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
1,13100,区部,1,04,200～299人,17,11312855,471680,511698,284842,320372,322336,385703,1260382,1499378,x,289818,30229,203490,56099,x,142972,278170,155891,94704,61187,x
1,13100,区部,1,05,300～499人,11,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
1,13100,区部,1,06,500～999人,5,7429769,609477,617778,755103,1221142,449778,670115,190174,4612566,x,594963,254897,289155,50911,-,9402,920373,455471,427337,28134,x
1,13100,区部,1,07,1000人以上,5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,-,x,x,x,x,x,x
2,13101,千代田区,0,00,総数,19,3201754,6017,5968,56959,57444,10560,12899,273555,491680,6227,51880,7752,33864,10264,-,1316,66172,3921,5093,-1172,56935
2,13101,千代田区,1,01,30～49人,10,578428,5755,5745,15064,15524,2910,3210,145595,117016,6227,19466,6512,8727,4227,-,1153,18303,3921,5093,-1172,24521
2,13101,千代田区,1,02,50～99人,5,708712,2,2,37733,35717,2664,2866,107776,118638,-,19733,1044,15347,3342,-,-,15601,-,-,-,19733
2,13101,千代田区,1,03,100～199人,4,1914614,260,221,4162,6203,4986,6823,20184,256026,-,12681,196,9790,2695,-,163,32268,-,-,-,12681
2,13102,中央区,0,00,総数,11,1613029,2199,2263,7220,9631,7786,8655,220961,421476,-,49923,14898,24714,10311,-,165,103050,259,x,x,x
2,13102,中央区,1,01,30～49人,4,x,2048,2158,x,x,x,x,13267,x,-,x,x,x,x,-,x,x,-,-,-,x
2,13102,中央区,1,02,50～99人,5,521146,151,105,3974,5198,2615,2815,207694,146154,-,27067,7918,13691,5458,-,-,15171,x,-,x,x
2,13102,中央区,1,03,100～199人,1,x,-,-,x,x,x,x,-,x,-,x,x,x,x,-,x,x,-,-,-,x
2,13102,中央区,1,05,300～499人,1,x,-,-,x,x,x,x,-,x,-,x,x,-,x,-,-,x,x,x,x,x
2,13103,港区,0,00,総数,7,601557,327,445,5832,5153,6516,6464,95459,125505,1717,22783,5008,10802,6973,11917,9957,18520,9701,-,9701,34201
2,13103,港区,1,01,30～49人,3,240670,302,404,5157,4396,3266,3311,68888,52041,1717,8179,489,4278,3412,11917,6093,6742,9701,-,9701,19597
2,13103,港区,1,02,50～99人,4,360887,25,41,675,757,3250,3153,26571,73464,-,14604,4519,6524,3561,-,3864,11778,-,-,-,14604
2,13104,新宿区,0,00,総数,34,4895279,76456,75805,45002,56251,12613,14818,488007,736541,x,226234,169897,32949,23388,43767,47640,93120,29,4234,-4205,x
2,13104,新宿区,1,01,30～49人,19,1471534,11965,12840,11829,11758,5479,6982,232982,277889,-,30628,6059,14961,9608,-,227,46932,29,-,29,30657
2,13104,新宿区,1,02,50～99人,12,1444814,64491,62965,28760,40092,3539,4636,239519,418350,x,38429,18697,16555,3177,43767,31801,29981,-,-,-,x
2,13104,新宿区,1,03,100～199人,2,x,-,-,x,x,x,x,x,x,x,x,x,x,x,-,x,x,-,x,x,x
2,13104,新宿区,1,07,1000人以上,1,x,-,-,x,x,x,x,x,x,x,x,x,x,x,-,x,x,-,x,x,x
2,13105,文京区,0,00,総数,28,6076506,196238,223320,195086,190195,50553,53891,705953,683656,4680,107931,31398,53427,23106,-,5519,116846,54832,71264,-16432,96179
2,13105,文京区,1,01,30～49人,13,900019,7997,5939,37214,41610,19022,18706,217153,189624,-,16027,641,13868,1518,-,2499,36875,355,-,355,16382
2,13105,文京区,1,02,50～99人,10,1174606,48586,49816,11227,9650,30397,33645,270294,196004,1930,10738,253,7373,3112,-,118,20214,5619,-,5619,18287
2,13105,文京区,1,03,100～199人,3,x,x,x,x,x,x,x,x,x,2750,x,x,x,x,-,x,x,x,x,x,x
2,13105,文京区,1,05,300～499人,1,x,-,-,x,x,x,x,-,x,-,x,-,x,x,-,x,x,-,-,-,x
2,13105,文京区,1,07,1000人以上,1,x,x,x,x,x,-,x,x,x,-,x,x,x,x,-,x,x,x,x,x,x
2,13106,台東区,0,00,総数,14,855008,50396,51993,6866,5219,134810,131982,254014,185629,-,12564,671,6277,5616,-,383,17153,-,-,-,12564
2,13106,台東区,1,01,30～49人,7,280835,8640,8287,483,273,7546,6298,11440,31043,-,5973,67,2996,2910,-,49,3443,-,-,-,5973
2,13106,台東区,1,02,50～99人,7,574173,41756,43706,6383,4946,127264,125684,242574,154586,-,6591,604,3281,2706,-,334,13710,-,-,-,6591
2,13107,墨田区,0,00,総数,47,18745245,502889,570556,314016,309242,338524,397600,1284864,2063871,23365,394864,90278,160563,144023,8119,57625,318756,570195,231365,338830,757059
2,13107,墨田区,1,01,30～49人,20,1104854,33396,38069,18778,20077,27500,26536,221113,395528,-,54284,14811,35364,4109,853,34140,55307,13990,15665,-1675,52609
2,13107,墨田区,1,02,50～99人,17,2169525,37723,41467,68325,66393,33512,39346,503205,478089,17220,61852,22144,27487,12221,7008,14931,56567,5276,-,5276,84348
2,13107,墨田区,1,03,100～199人,8,x,x,x,x,x,x,x,x,x,6145,x,x,x,x,258,x,x,x,x,x,x
2,13107,墨田区,1,04,200～299人,1,x,x,x,-,-,-,-,x,x,-,x,x,x,x,-,x,x,-,-,-,x
2,13107,墨田区,1,07,1000人以上,1,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,x,x,x
2,13108,江東区,0,00,総数,60,13596151,408661,405421,350527,352073,341631,341706,3054908,5407865,5655,607112,131720,414290,61102,37381,321557,513756,189090,161708,27382,640149
2,13108,江東区,1,01,30～49人,24,3189420,29340,30010,179832,233198,68694,58949,873457,520530,2900,91956,23016,55962,12978,-,9979,90050,28801,25253,3548,98404
