産業分類階層,産業コード,産業中分類,従業者規模階層,従業者規模コード,従業者規模,事業所数,生産額(万円),在庫額／製造品／年初(万円),在庫額／製造品／年末(万円),在庫額／半製品及び仕掛品／年初(万円),在庫額／半製品及び仕掛品／年末(万円),在庫額／原材料及び燃料／年初(万円),在庫額／原材料及び燃料／年末(万円),有形固定資産額／年初現在高／土地(万円),有形固定資産額／年初現在高／土地以外(万円),有形固定資産額／取得額／土地(万円),有形固定資産額／取得額／土地以外／計(万円),有形固定資産額／取得額／土地以外／建物等(万円),有形固定資産額／取得額／土地以外／機械等(万円),有形固定資産額／取得額／土地以外／備品等(万円),有形固定資産額／除却額／土地(万円),有形固定資産額／除却額／土地以外(万円),有形固定資産額／減価償却額(万円),有形固定資産額／建設仮勘定／増(万円),有形固定資産額／建設仮勘定／減(万円),有形固定資産額／建設仮勘定／差引増減(万円),有形固定資産額／投資総額(万円)
0,00,総数,0,00,総数,1353,522576074,18319518,20306200,53256854,55480763,21090577,22735059,55560178,94019737,1862636,17535066,4738937,7955157,4840972,480904,2233338,15479685,11946435,9896747,2049688,21447390
0,00,総数,1,01,30～49人,608,47698649,1538379,1622600,2070061,2167887,2301460,2126443,10750114,9414122,434615,1720919,653883,834477,232559,92943,316181,1270465,344246,260687,83559,2239093
0,00,総数,1,02,50～99人,449,72451728,2417852,2506433,3208080,3289410,3403194,3549251,14903167,15879793,262178,2361092,806769,1129783,424540,222382,319208,1958269,885667,679992,205675,2828945
0,00,総数,1,03,100～199人,184,69375545,1684468,1958331,3972892,4053727,3228907,3484867,11626598,13968633,346305,2657047,979124,1239791,438132,149454,471406,2077239,793623,1216997,-423374,2579978
0,00,総数,1,04,200～299人,37,27876653,1012165,1068733,1412078,1533006,941750,1074537,2150848,4985547,x,1116702,457419,531022,128261,x,174482,738835,770312,818468,-48156,x
0,00,総数,1,05,300～499人,32,38700303,1435184,1652901,2213222,2458613,851745,920222,6800900,9228012,94714,1082000,164825,653221,263954,12226,266931,1297125,558053,552434,5619,1182333
0,00,総数,1,06,500～999人,24,47248259,1896309,1445552,6649487,7158860,4692263,5503994,4149994,14983069,x,1775350,602231,901630,271489,1601,121310,2548331,1302544,1104071,198473,x
0,00,総数,1,07,1000人以上,19,219224937,8335161,10051650,33731034,34819260,5671258,6075745,5178557,25560561,714651,6821956,1074686,2665233,3082037,x,563820,5589421,7291990,5264098,2027892,9564499
1,09,食料品製造業,0,00,総数,173,56244778,780292,857794,219872,238470,1343774,1205013,6297315,11206757,123919,1471008,475715,863997,131296,725,75071,1467769,1091612,790063,301549,1896476
1,09,食料品製造業,1,01,30～49人,56,3634592,98792,103881,29597,29289,115177,105358,694604,626820,3100,71932,11470,52161,8301,510,6515,80059,599,2923,-2324,72708
1,09,食料品製造業,1,02,50～99人,55,11134312,293425,315816,52605,61289,565511,467416,2013523,2581136,1836,300651,167393,99407,33851,215,29408,289183,207751,179750,28001,330488
1,09,食料品製造業,1,03,100～199人,32,8816300,108886,157494,15189,13935,198182,210576,794620,1699424,108810,112109,27508,58279,26322,-,8147,196847,9411,10152,-741,220178
1,09,食料品製造業,1,04,200～299人,9,5468451,85823,85413,1380,1420,42009,38678,367843,871082,-,44333,19585,23342,1406,-,2163,123391,59437,29594,29843,74176
1,09,食料品製造業,1,05,300～499人,12,8189214,92057,99372,20724,17502,121384,112520,378992,1270353,-,158414,30720,109473,18221,-,9683,179295,35959,24544,11415,169829
1,09,食料品製造業,1,06,500～999人,8,x,x,x,x,x,x,x,x,x,10173,x,x,x,x,-,x,x,x,x,x,x
1,09,食料品製造業,1,07,1000人以上,1,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,x,x,x
1,10,飲料・たばこ・飼料製造業,0,00,総数,7,9502926,107032,128424,49881,46973,114486,117446,1653617,2334067,x,165530,79878,69646,16006,10012,6397,224914,172162,155892,16270,x
1,10,飲料・たばこ・飼料製造業,1,01,30～49人,1,x,x,x,-,-,x,x,x,x,x,x,x,-,x,-,x,x,-,-,-,x
1,10,飲料・たばこ・飼料製造業,1,02,50～99人,3,x,x,x,20141,19257,x,x,x,x,-,x,x,3567,x,10012,x,x,92,-,92,x
1,10,飲料・たばこ・飼料製造業,1,03,100～199人,3,8635015,78415,96673,29740,27716,79588,82441,1460723,2179209,-,155550,73992,66079,15479,-,6173,213514,172070,155892,16178,171728
1,11,繊維工業,0,00,総数,16,926707,42738,47587,38580,32465,27433,25704,252143,226771,11609,55061,45575,6952,2534,-,208,19618,x,x,x,x
1,11,繊維工業,1,01,30～49人,9,424391,9424,7409,9680,5837,10771,10383,101398,112458,11609,51758,42880,6952,1926,-,113,9568,320,309,11,63378
1,11,繊維工業,1,02,50～99人,5,x,x,x,x,x,x,x,x,x,-,x,x,-,608,-,x,x,x,-,x,x
1,11,繊維工業,1,03,100～199人,2,x,x,x,x,x,x,x,x,x,-,x,x,-,-,-,x,x,x,x,x,x
1,12,木材・木製品製造業（家具を除く）,0,00,総数,2,x,x,x,x,x,x,x,x,x,-,x,x,x,x,x,-,x,-,-,-,x
1,12,木材・木製品製造業（家具を除く）,1,01,30～49人,1,x,x,x,-,-,x,x,x,x,-,x,-,-,x,-,-,x,-,-,-,x
1,12,木材・木製品製造業（家具を除く）,1,02,50～99人,1,x,x,x,x,x,x,x,x,x,-,x,x,x,x,x,-,x,-,-,-,x
1,13,家具・装備品製造業,0,00,総数,16,8963305,347012,233277,2803987,2887291,1367716,1850221,803818,787965,-,133316,14959,26891,91466,-,66458,236371,9007,6241,2766,136082
1,13,家具・装備品製造業,1,01,30～49人,9,865915,18707,20094,26428,41579,23665,26617,309739,175935,-,19769,3222,16128,419,-,46935,36566,6948,4356,2592,22361
1,13,家具・装備品製造業,1,02,50～99人,5,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,x,x,x
1,13,家具・装備品製造業,1,03,100～199人,1,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,x,x,x
1,13,家具・装備品製造業,1,06,500～999人,1,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,x,x,x
1,14,パルプ・紙・紙加工品製造業,0,00,総数,36,6630945,292272,300593,59299,60862,255924,169140,985732,1889213,-,234379,87543,134090,12746,8309,27798,230491,117629,83972,33657,268036
1,14,パルプ・紙・紙加工品製造業,1,01,30～49人,20,1485779,17721,16828,7959,9297,131777,42497,297866,232139,-,72570,40127,28614,3829,1301,7928,40987,2529,1651,878,73448
1,14,パルプ・紙・紙加工品製造業,1,02,50～99人,11,2846287,152482,150859,25833,30812,77214,81146,345680,996395,-,81197,25524,49681,5992,7008,15598,108302,50628,18873,31755,112952
1,14,パルプ・紙・紙加工品製造業,1,03,100～199人,5,2298879,122069,132906,25507,20753,46933,45497,342186,660679,-,80612,21892,55795,2925,-,4272,81202,64472,63448,1024,81636
1,15,印刷・同関連業,0,00,総数,270,49206561,480786,494195,1194194,1149357,356973,402616,14041302,10869357,193203,1759538,522216,969578,267744,226168,705484,1594276,482957,568957,-86000,1866741
1,15,印刷・同関連業,1,01,30～49人,117,8728411,146455,126588,140546,137325,76300,81434,1858655,1940578,74385,336794,70537,223644,42613,29498,44082,272049,42217,8693,33524,444703
1,15,印刷・同関連業,1,02,50～99人,100,13047814,85810,79608,275042,274454,122982,151201,4086967,3078089,56725,334478,69003,202259,63216,55464,109797,368818,62268,7076,55192,446395
1,15,印刷・同関連業,1,03,100～199人,37,10692154,24819,32907,121277,118123,75519,74254,1170345,1997508,62093,537602,275131,222064,40407,141206,285287,312542,134737,221808,-87071,512624
1,15,印刷・同関連業,1,04,200～299人,4,x,3973,-,x,x,x,x,219989,x,-,137325,1274,131453,4598,-,134675,x,35101,71559,-36458,100867
1,15,印刷・同関連業,1,05,300～499人,6,4204050,20024,30498,173939,121045,21427,34480,3272696,1302393,-,62000,44420,10228,7352,-,113669,226637,42151,22174,19977,81977
1,15,印刷・同関連業,1,06,500～999人,2,x,-,-,x,x,x,x,-,x,-,-,-,-,-,-,-,x,-,-,-,-
1,15,印刷・同関連業,1,07,1000人以上,4,7767438,199705,224594,417365,424967,38103,38729,3432650,2267205,-,351339,61851,179930,109558,-,17974,366544,166483,237647,-71164,280175
1,16,化学工業,0,00,総数,63,32403159,1342992,1590283,1452993,1927590,1571724,2040872,4725581,12411715,78685,1638294,503592,801961,332741,7164,110763,1858598,1028690,1052360,-23670,1693309
1,16,化学工業,1,01,30～49人,22,2650300,152864,147520,262185,254916,246716,280612,503862,756751,68117,121613,51067,53785,16761,853,16724,124003,52752,35443,17309,207039
1,16,化学工業,1,02,50～99人,26,6517273,260064,380615,148278,140188,364523,411005,525038,1267928,7673,192262,59621,60095,72546,1789,17824,169851,103548,87445,16103,216038
1,16,化学工業,1,03,100～199人,7,3943662,271083,380962,68668,95657,283608,395112,2860447,1494297,-,652175,264302,360319,27554,4482,3468,281434,127610,498930,-371320,280855
1,16,化学工業,1,04,200～299人,4,3031767,93780,116903,250240,265172,233012,283892,266371,1131665,-,114734,28293,64876,21565,-,1616,152324,81247,27332,53915,168649
1,16,化学工業,1,05,300～499人,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
1,16,化学工業,1,06,500～999人,1,x,x,x,x,x,x,x,-,x,x,x,x,x,x,-,x,x,x,x,x,x
1,16,化学工業,1,07,1000人以上,1,x,x,x,x,x,x,x,x,x,-,x,x,x,x,x,x,x,x,x,x,x
1,17,石油製品・石炭製品製造業,0,00,総数,2,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,-,x,x
1,17,石油製品・石炭製品製造業,1,01,30～49人,1,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,-,-,-,x
1,17,石油製品・石炭製品製造業,1,02,50～99人,1,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,x,x,-,x,x
1,18,プラスチック製品製造業（別掲を除く）,0,00,総数,44,3401678,144289,107993,84527,87529,82418,72512,838567,811280,21289,157131,59041,56673,41417,49109,33013,133445,33293,34146,-853,177567
1,18,プラスチック製品製造業（別掲を除く）,1,01,30～49人,25,1812327,58260,69156,31490,34802,40059,35913,498070,311432,4759,68331,24548,23428,20355,145,18998,63845,8237,9887,-1650,71440
1,18,プラスチック製品製造業（別掲を除く）,1,02,50～99人,18,x,x,x,x,x,x,x,x,x,16530,x,x,x,x,48964,x,x,x,x,x,x
1,18,プラスチック製品製造業（別掲を除く）,1,03,100～199人,1,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,x,x,x
1,19,ゴム製品製造業,0,00,総数,11,1220467,102652,113805,50924,48679,28160,30577,441840,589082,1737,112720,52792,43285,16643,x,x,116797,x,x,x,x
1,19,ゴム製品製造業,1,01,30～49人,7,401728,26782,32565,10595,10611,10629,11037,127026,154464,744,11422,3523,3827,4072,-,14,11604,295,-,295,12461
1,19,ゴム製品製造業,1,02,50～99人,3,x,x,x,x,x,x,x,x,x,993,x,x,x,x,-,x,x,-,-,-,x
1,19,ゴム製品製造業,1,04,200～299人,1,x,x,x,x,x,x,x,x,x,-,x,x,x,x,x,x,x,x,x,x,x
1,20,なめし革・同製品・毛皮製造業,0,00,総数,18,2244341,261132,292492,124645,166581,154276,138545,235956,313246,16725,228497,146771,77982,3744,-,473,30835,57415,32683,24732,269954
1,20,なめし革・同製品・毛皮製造業,1,01,30～49人,11,580601,48026,48403,24517,26793,23766,24738,65230,75462,15759,8820,8233,587,-,-,364,6220,-,-,-,24579
1,20,なめし革・同製品・毛皮製造業,1,02,50～99人,5,x,x,x,x,x,x,x,x,x,966,x,x,x,3744,-,x,x,x,x,x,x
1,20,なめし革・同製品・毛皮製造業,1,03,100～199人,1,x,x,x,x,x,x,x,x,x,-,x,x,-,-,-,x,x,x,-,x,x
1,20,なめし革・同製品・毛皮製造業,1,06,500～999人,1,x,x,x,x,x,x,x,-,x,-,x,x,x,-,-,-,x,x,x,x,x
1,21,窯業・土石製品製造業,0,00,総数,18,4444425,324042,338549,126641,78365,94856,79891,1589811,1902354,5969,121756,27380,70662,23714,4490,54907,200544,71222,54123,17099,144824
1,21,窯業・土石製品製造業,1,01,30～49人,8,1072548,28045,27552,2032,2077,6181,5854,452016,275232,5969,14609,2709,7735,4165,-,1933,52431,4690,-,4690,25268
