産業分類階層,産業コード,産業中分類,生産額／平成31年・令和元年／金額(万円),生産額／平成31年・令和元年／構成比(％),生産額／平成31年・令和元年／増減額(万円),生産額／平成31年・令和元年／増減率(％),生産額／平成30年／金額(万円),生産額／平成30年／構成比(％),有形固定資産投資総額／平成31年・令和元年／金額(万円),有形固定資産投資総額／平成31年・令和元年／構成比(％),有形固定資産投資総額／平成31年・令和元年／増減額(万円),有形固定資産投資総額／平成31年・令和元年／増減率(％),有形固定資産投資総額／平成30年／金額(万円),有形固定資産投資総額／平成30年／構成比(％)
0,00,総数,522576074,100,-35771418,-6.4,558347492,100,21447390,100,1368912,6.8,20078478,100
1,09,食料品,56244778,10.8,-155200,-0.3,56399978,10.1,1896476,8.8,-109316,-5.5,2005792,10
1,10,飲料・飼料等,9502926,1.8,-388157,-3.9,9891083,1.8,x,x,x,x,182471,0.9
1,11,繊維工業,926707,0.2,-215056,-18.8,1141763,0.2,x,x,x,x,58805,0.3
1,12,木材・木製品,x,x,x,x,x,x,x,x,x,x,x,x
1,13,家具・装備品,8963305,1.7,666315,8,8296990,1.5,136082,0.6,-2911,-2.1,138993,0.7
1,14,紙・紙加工品,6630945,1.3,285335,4.5,6345610,1.1,268036,1.2,x,x,x,x
1,15,印刷・同関連業,49206561,9.4,-332322,-0.7,49538883,8.9,1866741,8.7,330382,21.5,1536359,7.7
1,16,化学工業,32403159,6.2,308202,1,32094957,5.7,1693309,7.9,-1320952,-43.8,3014261,15
1,17,石油・石炭,x,x,x,x,x,x,x,x,x,x,x,x
1,18,プラスチック,3401678,0.7,-241915,-6.6,3643593,0.7,177567,0.8,52972,42.5,124595,0.6
1,19,ゴム製品,1220467,0.2,25062,2.1,1195405,0.2,x,x,x,x,x,x
1,20,皮革・同製品,2244341,0.4,-25250,-1.1,2269591,0.4,269954,1.3,186915,225.1,83039,0.4
1,21,窯業・土石,4444425,0.9,-1057212,-19.2,5501637,1,144824,0.7,-124775,-46.3,269599,1.3
1,22,鉄鋼業,12142066,2.3,-1233035,-9.2,13375101,2.4,715174,3.3,-149845,-17.3,865019,4.3
1,23,非鉄金属,9964963,1.9,2929500,41.6,7035463,1.3,169878,0.8,-300498,-63.9,470376,2.3
1,24,金属製品,8715709,1.7,-810974,-8.5,9526683,1.7,440546,2.1,-49026,-10,489572,2.4
1,25,はん用機械,11932348,2.3,-630050,-5,12562398,2.2,447124,2.1,-37709,-7.8,484833,2.4
1,26,生産用機械,20482605,3.9,-3343198,-14,23825803,4.3,1003951,4.7,-207674,-17.1,1211625,6
1,27,業務用機械,21399039,4.1,73790,0.3,21325249,3.8,643096,3,192928,42.9,450168,2.2
1,28,電子・デバイス,28716215,5.5,-4316494,-13.1,33032709,5.9,2492505,11.6,43004,1.8,2449501,12.2
1,29,電気機械,63114555,12.1,2245517,3.7,60869038,10.9,1964580,9.2,738490,60.2,1226090,6.1
1,30,情報通信機械,38532514,7.4,-7981190,-17.2,46513704,8.3,x,x,x,x,858074,4.3
1,31,輸送用機械,118582595,22.7,-23270834,-16.4,141853429,25.4,4474915,20.9,1094035,32.4,3380880,16.8
1,32,その他,12636880,2.4,1694210,15.5,10942670,2,393493,1.8,-45342,-10.3,438835,2.2
,,,,,,,,,,,,,,
2020東京の工業　2020年工業統計調査報告（2019年実績）,,,,,,,,,,,,,,
付表8　産業中分類別生産額、有形固定資産投資総額（従業者30人以上）,,,,,,,,,,,,,,
産業分類階層（0：総数　1：産業中分類）,,,,,,,,,,,,,,
