年月,西暦（年）,月,総合,持家の帰属家賃を除く総合,食料,住居,持家の帰属家賃を除く住居,光熱・水道,家具・家事用品,被服及び履物,保健医療,交通・通信,教育,教養娯楽,諸雑費,
前月比(％)／平成24年7月,2012,7,-0.3,-0.3,-0.5,0,0,0.1,-0.6,-3,-0.1,-0.2,0,0.2,-0.1,
前月比(％)／平成24年8月,2012,8,0.1,0.2,-0.2,0,-0.1,0.8,-1,-2,-0.2,0.6,0,1.6,0,
前月比(％)／平成24年9月,2012,9,0.1,0.2,-0.1,0,0,1.4,0,6.1,0.1,0.2,0,-1.8,0.1,
前月比(％)／平成24年10月,2012,10,0,0,0.1,0,0,-0.2,0.2,0.4,0,0.2,0,-0.3,-0.1,
前月比(％)／平成24年11月,2012,11,-0.4,-0.4,-0.3,0,0,-0.3,-0.6,0.3,-0.4,-0.7,0,-1.3,0,
前月比(％)／平成24年12月,2012,12,0,0.1,0.4,0,0,0,-0.7,-0.6,-0.3,0.3,0,-0.3,-0.1,
前月比(％)／平成25年1月,2013,1,0.1,0.1,1.4,-0.1,-0.1,-0.1,-0.1,-5.3,0,0.1,0.1,-0.7,-0.1,
前月比(％)／平成25年2月,2013,2,-0.2,-0.2,-1,0,0,0.1,0.7,-0.9,0,0.6,0.1,0,0.2,
前月比(％)／平成25年3月,2013,3,0.2,0.2,-0.5,0,0,0,0.3,3.7,0.1,0.3,0,0.8,0.7,
前年同月比(％)／平成24年3月,2012,3,0.5,0.7,1.5,-0.2,-0.2,4.7,-3.3,0.3,-0.8,1,0.3,-1.2,-0.2,
前年同月比(％)／平成24年4月,2012,4,0.4,0.6,0.7,-0.3,-0.2,4.7,-3.4,-0.1,-0.6,0.9,0.3,-0.1,-0.2,
前年同月比(％)／平成24年5月,2012,5,0.2,0.3,1,-0.4,-0.2,3.9,-3.9,-0.1,-1.3,0.3,0.3,-1.2,-0.2,
前年同月比(％)／平成24年6月,2012,6,-0.2,-0.1,0.1,-0.3,-0.2,3.5,-3.4,-0.1,-1.2,-0.3,0.4,-1.5,-0.2,
前年同月比(％)／平成24年7月,2012,7,-0.4,-0.5,-0.4,-0.3,-0.2,3,-3.1,0.2,-0.6,-1.2,0.4,-1.8,-0.2,
前年同月比(％)／平成24年8月,2012,8,-0.4,-0.4,-0.7,-0.3,-0.2,3.2,-3,-0.3,-0.6,-1.1,0.4,-1.2,-0.1,
前年同月比(％)／平成24年9月,2012,9,-0.3,-0.3,-1,-0.4,-0.3,4.3,-2.1,-0.2,-0.6,0.3,0.4,-2.1,-0.1,
前年同月比(％)／平成24年10月,2012,10,-0.4,-0.4,-1.6,-0.4,-0.3,3.8,-1.8,-0.2,-0.4,0.8,0.4,-2,-0.1,
前年同月比(％)／平成24年11月,2012,11,-0.2,-0.1,-0.5,-0.4,-0.3,3.1,-2,-0.4,-0.7,0.2,0.4,-0.8,-0.3,
前年同月比(％)／平成24年12月,2012,12,-0.1,-0.1,-0.3,-0.4,-0.3,2.9,-1.9,-0.3,-0.7,0.2,0.4,-1.2,-0.3,
前年同月比(％)／平成25年1月,2013,1,-0.3,-0.3,-0.7,-0.4,-0.4,2.9,-5.3,0.3,-0.7,0,0.4,-0.8,-0.3,
前年同月比(％)／平成25年2月,2013,2,-0.7,-0.7,-1.8,-0.4,-0.4,3,-3.8,-0.5,-0.5,0.9,0.4,-2.8,-0.1,
前年同月比(％)／平成25年3月,2013,3,-0.9,-1,-2.4,-0.4,-0.3,2.3,-3.3,-0.2,-0.4,-0.2,0.4,-2.7,0.5,
,,,,,,,,,,,,,,,,
東京の物価／平成２５年４月,,,,,,,,,,,,,,,,
８．全国消費者物価１０大費目指数,,,,,,,,,,,,,,,,
２０１０年＝１００,,,,,,,,,,,,,,,,
(平成２２年＝１００),,,,,,,,,,,,,,,,
