分類,市場,水産市場ID,日付,種別,品名,販売方法,卸売数量(kg)
水産,豊洲,Sui_K1,2022-04-01,大物,まぐろ（生鮮）,せり・入札,25646.0
水産,豊洲,Sui_K1,2022-04-01,大物,まぐろ（冷凍）,せり・入札,33984.0
水産,豊洲,Sui_K1,2022-04-01,大物,きわだ（生鮮）,せり・入札,1292.0
水産,豊洲,Sui_K1,2022-04-01,大物,きわだ（冷凍）,せり・入札,4196.0
水産,豊洲,Sui_K1,2022-04-01,大物,めばち（生鮮）,せり・入札,310.0
水産,豊洲,Sui_K1,2022-04-01,大物,めばち（冷凍）,せり・入札,59321.0
水産,豊洲,Sui_K1,2022-04-01,大物,いんど（生鮮）,せり・入札,3158.0
水産,豊洲,Sui_K1,2022-04-01,大物,いんど（冷凍）,せり・入札,14837.0
水産,豊洲,Sui_K1,2022-04-01,大物,まかじき（生鮮）,せり・入札,596.0
水産,豊洲,Sui_K1,2022-04-01,大物,めかじき（生鮮）,せり・入札,4918.0
水産,豊洲,Sui_K1,2022-04-01,大物,めかじき（冷凍）,せり・入札,3336.0
水産,豊洲,Sui_K1,2022-04-01,大物,その他（大物冷）,せり・入札,775.0
水産,豊洲,Sui_K1,2022-04-01,鮮魚,しばえび,せり・入札,82.0
水産,豊洲,Sui_K1,2022-04-01,鮮魚,くるまえび,せり・入札,1558.0
水産,豊洲,Sui_K1,2022-04-01,鮮魚,めじ,相対,1871.0
水産,豊洲,Sui_K1,2022-04-01,鮮魚,まだい,相対,65149.0
水産,豊洲,Sui_K1,2022-04-01,鮮魚,きんめだい,相対,13807.0
水産,豊洲,Sui_K1,2022-04-01,鮮魚,あまだい,せり・入札,52.0
水産,豊洲,Sui_K1,2022-04-01,鮮魚,あまだい,相対,808.0
水産,豊洲,Sui_K1,2022-04-01,鮮魚,ぶり・わらさ,相対,117103.0
水産,豊洲,Sui_K1,2022-04-01,鮮魚,いなだ・わかし,相対,7119.0
水産,豊洲,Sui_K1,2022-04-01,鮮魚,はまち,相対,8777.0
水産,豊洲,Sui_K1,2022-04-01,鮮魚,ひらめ,相対,2447.0
水産,豊洲,Sui_K1,2022-04-01,鮮魚,かれい,相対,15800.0
水産,豊洲,Sui_K1,2022-04-01,鮮魚,あじ,相対,50592.0
水産,豊洲,Sui_K1,2022-04-01,鮮魚,さば,相対,29367.0
水産,豊洲,Sui_K1,2022-04-01,鮮魚,かつお,相対,19973.0
水産,豊洲,Sui_K1,2022-04-01,鮮魚,いわし,相対,25396.0
水産,豊洲,Sui_K1,2022-04-01,鮮魚,にしん,相対,3039.0
水産,豊洲,Sui_K1,2022-04-01,鮮魚,さんま,相対,2320.0
水産,豊洲,Sui_K1,2022-04-01,鮮魚,するめいか,相対,8077.0
水産,豊洲,Sui_K1,2022-04-01,鮮魚,やりいか,相対,11139.0
水産,豊洲,Sui_K1,2022-04-01,鮮魚,煮だこ,相対,3760.0
水産,豊洲,Sui_K1,2022-04-01,鮮魚,たら類,相対,9477.0
水産,豊洲,Sui_K1,2022-04-01,鮮魚,すけそう,相対,917.0
