日付,種別,種類,区分,頭数(頭)
2022-04-01,牛,和牛,本日と畜,368.0
2022-04-01,牛,和牛,上場頭数(生体),253.0
2022-04-01,牛,和牛,上場頭数(搬入),54.0
2022-04-01,牛,交雑種,本日と畜,55.0
2022-04-01,牛,交雑種,上場頭数(生体),84.0
2022-04-01,牛,交雑種,上場頭数(搬入),12.0
2022-04-01,牛,乳牛,本日と畜,0.0
2022-04-01,牛,乳牛,上場頭数(生体),0.0
2022-04-01,牛,乳牛,上場頭数(搬入),72.0
2022-04-01,牛,計,本日と畜,423.0
2022-04-01,牛,計,上場頭数(生体),337.0
2022-04-01,牛,計,上場頭数(搬入),138.0
2022-04-01,馬,,本日と畜,0.0
2022-04-01,馬,,上場頭数(生体),0.0
2022-04-01,馬,,上場頭数(搬入),0.0
2022-04-01,豚,,本日と畜,599.0
2022-04-01,豚,,上場頭数(生体),966.0
2022-04-01,豚,,上場頭数(搬入),16.0
2022-04-01,こ牛,,本日と畜,0.0
2022-04-01,こ牛,,上場頭数(生体),0.0
2022-04-01,こ牛,,上場頭数(搬入),0.0
2022-04-04,牛,和牛,本日と畜,321.0
2022-04-04,牛,和牛,上場頭数(生体),366.0
2022-04-04,牛,和牛,上場頭数(搬入),28.0
2022-04-04,牛,交雑種,本日と畜,109.0
2022-04-04,牛,交雑種,上場頭数(生体),55.0
2022-04-04,牛,交雑種,上場頭数(搬入),64.0
2022-04-04,牛,乳牛,本日と畜,0.0
2022-04-04,牛,乳牛,上場頭数(生体),0.0
2022-04-04,牛,乳牛,上場頭数(搬入),71.0
2022-04-04,牛,計,本日と畜,430.0
2022-04-04,牛,計,上場頭数(生体),421.0
2022-04-04,牛,計,上場頭数(搬入),163.0
2022-04-04,馬,,本日と畜,0.0
2022-04-04,馬,,上場頭数(生体),0.0
2022-04-04,馬,,上場頭数(搬入),0.0
2022-04-04,豚,,本日と畜,906.0
2022-04-04,豚,,上場頭数(生体),656.0
2022-04-04,豚,,上場頭数(搬入),1.0
2022-04-04,こ牛,,本日と畜,0.0
2022-04-04,こ牛,,上場頭数(生体),0.0
2022-04-04,こ牛,,上場頭数(搬入),0.0
2022-04-05,牛,和牛,本日と畜,336.0
2022-04-05,牛,和牛,上場頭数(生体),321.0
2022-04-05,牛,和牛,上場頭数(搬入),16.0
2022-04-05,牛,交雑種,本日と畜,94.0
2022-04-05,牛,交雑種,上場頭数(生体),109.0
2022-04-05,牛,交雑種,上場頭数(搬入),1.0
2022-04-05,牛,乳牛,本日と畜,0.0
2022-04-05,牛,乳牛,上場頭数(生体),0.0
2022-04-05,牛,乳牛,上場頭数(搬入),43.0
2022-04-05,牛,計,本日と畜,430.0
2022-04-05,牛,計,上場頭数(生体),430.0
2022-04-05,牛,計,上場頭数(搬入),60.0
2022-04-05,馬,,本日と畜,0.0
2022-04-05,馬,,上場頭数(生体),0.0
2022-04-05,馬,,上場頭数(搬入),0.0
2022-04-05,豚,,本日と畜,761.0
2022-04-05,豚,,上場頭数(生体),981.0
2022-04-05,豚,,上場頭数(搬入),0.0
2022-04-05,こ牛,,本日と畜,0.0
2022-04-05,こ牛,,上場頭数(生体),0.0
