"種類","名称","所在地","緯度","経度","総戸数[戸]","単身向け戸数[戸]","備考"
"区営住宅","シティハイツ白金","東京都港区白金三丁目7番9号","35.6460772","139.7302515","18",,
"区営住宅","シティハイツ港南","東京都港区港南三丁目3番17号","35.6329627","139.7495586","49",,
"区営住宅","シティハイツ六本木","東京都港区六本木六丁目5番25号","35.6613365","139.731001","50","24",
"区営住宅","シティハイツ一ツ木","東京都港区赤坂五丁目2番50号","35.6732046","139.7342058","24",,
"区営住宅","シティハイツ芝浦","東京都港区芝浦三丁目5番34号","35.6434975","139.7478278","76","26",
"区営住宅","シティハイツ第2芝浦","東京都港区芝浦三丁目5番35号","35.6436975","139.7481055","27",,
"区営住宅","シティハイツ桂坂","東京都港区高輪二丁目13番8号","35.6345427","139.737854","20","8",
"区営住宅","シティハイツ車町29",,,,,,"※建替え中"
"区営住宅","シティハイツ車町30",,,,,,"※建替え中"
"特定公共賃貸住宅","シティハイツ高浜",,,,,,"※建替え中"
"特定公共賃貸住宅","シティハイツ港南","東京都港区港南三丁目3番17号","35.6329627","139.7495586","130",,
"特定公共賃貸住宅","シティハイツ竹芝","東京都港区芝一丁目8番23号","35.651619","139.7555741","87",,
"特定公共賃貸住宅","シティハイツ桂坂","東京都港区高輪二丁目13番8号","35.6345427","139.737854","53","20",
"特定公共賃貸住宅","シティハイツ神明","東京都港区浜松町一丁目13番1号","35.6588487","139.7568877","150","20",
"区立住宅","シティハイツ高輪","東京都港区高輪一丁目16番25号","35.64195","139.734104","65",,
"区立住宅","シティハイツ赤坂","東京都港区赤坂四丁目18番13号","35.6747488","139.7316337","56",,
"区立住宅","シティハイツ港南","東京都港区港南三丁目3番17号","35.6329627","139.7495586","26",,

"区民向け住宅一覧（令和4年4月1日現在)","Ver202204",,,,,,
