2020/1/1,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.42,2,0.26,2.8,NE,SE,6,NNW,10.4,41,,
2,0.48,3,0.24,2.5,,W,3,NNW,9.4,36,,
3,0.51,2.5,0.25,3,ESE,WNW,7,NNW,8.9,43,,
4,0.49,4,0.26,2.7,W,W,18,NNW,10.1,58,,
5,0.43,3,0.24,2.6,,W,28,NNW,8.6,79,,
6,0.32,2,0.18,2.7,,WNW,22,NNW,7.3,102,,
7,0.33,2,0.18,2.7,,W,18,N,5.6,128,,
8,0.32,3,0.17,2.8,,W,17,N,5.9,151,,
9,0.26,3,0.14,3.1,,W,15,NNE,3.4,162,,
10,0.37,2,0.16,2.7,,WSW,11,NNE,2.5,160,,
11,0.19,2.5,0.11,2.7,,W,3,NNE,2.6,147,,
12,0.26,5,0.12,2.8,,E,4,NE,3.5,129,,
13,0.19,3,0.12,2.8,,ENE,3,ENE,2.3,112,,
14,0.15,3,0.09,2.5,,ENE,3,ENE,2.4,104,,
15,0.14,1.5,0.09,2.5,,SW,3,ESE,2.1,105,,
16,0.22,2.5,0.12,2.8,,WNW,2,ESE,1.7,117,,
17,0.5,2.5,0.17,2.9,,W,2,SSE,1.7,129,,
18,0.3,5.5,0.1,2.5,,S,3,S,2.7,141,,
19,0.31,3,0.12,3,,WSW,6,SSW,2.8,149,,
20,0.27,2.5,0.09,2.5,,SSW,6,NNW,1.6,151,,
21,0.33,2,0.1,2.6,,W,11,NNW,1.7,147,,
22,0.1,5.5,0.06,2.5,,S,2,WSW,1.4,138,,
23,0.22,5,0.1,2.8,,,0,WNW,2.3,122,,
24,0.24,2,0.08,2.4,,WNW,2,NNW,2.9,98,,
最大,0.51,5.5,0.26,3.1,最多,平均,28,最多,10.4,平均,平均,
平均,0.31,3,0.15,2.7,,W,6.7,NNW,4.3,115,,
2020/1/2,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.26,4.5,0.07,2.6,,SSE,4,NW,2.6,77,,
2,0.17,7.5,0.07,2.4,,NW,5,N,2.9,64,,
3,0.27,2.5,0.08,2.6,,WNW,6,NNE,3,62,,
4,0.39,2,0.08,2.4,,NNW,1,NNE,2.9,71,,
5,0.35,3.5,0.13,3,,WSW,4,N,3.5,89,,
6,0.39,1.5,0.09,2.6,,W,5,NNE,1.8,108,,
7,0.26,3,0.16,2.6,,WNW,2,NNE,2.4,128,,
8,0.35,2.5,0.19,2.7,,,0,NNE,3,145,,
9,0.27,2.5,0.15,3,,SE,3,N,4.3,159,,
10,0.26,3,0.13,2.6,,SSE,1,N,3.9,165,,
11,0.55,2,0.13,2.4,,SE,6,N,3.2,161,,
12,0.43,3,0.19,2.9,,ENE,4,N,3.3,144,,
13,0.28,2.5,0.16,3,,E,6,N,2.4,125,,
14,0.23,2.5,0.14,2.6,,E,4,ENE,2.6,111,,
15,0.53,2.5,0.24,2.9,,WSW,2,ENE,2.7,106,,
16,0.33,4,0.2,2.9,,NNE,3,E,2.4,108,,
