2021/1/1,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.15,2.5,0.08,2.6,,NW,6,NE,1.6,20,,
2,0.28,3,0.14,2.9,,NW,8,N,0.7,49,,
3,0.16,3,0.09,2.6,,W,12,W,1.3,87,,
4,0.21,1.5,0.11,2,,W,14,W,2.7,126,,
5,0.35,2.5,0.15,2.8,,W,23,NNW,1.5,161,,
6,0.15,2.5,0.09,2.3,,W,18,NW,1.5,186,,
7,0.22,3,0.11,2.8,,WNW,12,W,3.3,196,,
8,0.22,4.5,0.12,2.7,,W,7,W,3.9,186,,
9,0.29,3,0.16,2.9,,W,4,NW,1.9,162,,
10,0.28,3,0.15,3.1,,W,3,NW,2.2,134,,
11,0.25,3,0.16,3,,NW,2,NNW,1.2,116,,
12,0.28,3,0.14,3.1,,NNW,5,ENE,2.8,108,,
13,0.35,3.5,0.17,3.1,,NW,9,ENE,3,113,,
14,0.25,2.5,0.11,2.8,,NNW,6,NE,3.1,126,,
15,0.42,5,0.13,3,,N,6,ENE,3.1,150,,
16,0.2,2,0.09,2.6,,SSW,5,NE,2.6,170,,
17,0.35,1.5,0.15,3,,SSW,9,NE,2.8,184,,
18,0.16,2,0.08,2.6,,SE,2,NE,2.8,183,,
19,0.16,3.5,0.08,2.5,,E,14,NNE,4.5,169,,
20,0.2,4.5,0.1,2.4,,ESE,17,NNE,4.6,137,,
21,0.19,1.5,0.1,2.2,,ESE,14,N,4.1,97,,
22,0.19,2,0.1,2.1,,ESE,13,N,2.9,55,,
23,0.32,2.5,0.13,2.7,,ESE,10,N,2.3,21,,
24,0.17,3,0.1,2.3,,SE,3,NNW,2.8,1,,
最大,0.42,5,0.17,3.1,最多,平均,23,最多,4.6,平均,平均,
平均,0.24,2.8,0.12,2.7,,W,2.2,NE,2.6,122,,
2021/1/2,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.15,2,0.09,2.2,,SW,4,NNW,3.7,3,,
2,0.18,1.5,0.09,2,,WSW,8,NW,3.9,19,,
3,0.16,3,0.1,2,,WNW,10,NNW,2.5,50,,
4,0.14,2.5,0.07,2.5,,WNW,10,NW,3.3,87,,
5,0.31,1,0.17,3.3,,WNW,17,NNW,1.2,130,,
6,0.29,3,0.09,2.6,,NW,16,NW,1,161,,
7,0.43,2.5,0.18,2.8,,NW,14,NW,1.3,179,,
8,0.31,2.5,0.17,2.7,,NW,7,NW,1.9,179,,
9,0.31,3,0.18,2.9,,SE,2,NNE,1,167,,
10,0.4,2.5,0.15,2.7,,ESE,6,NE,2.1,145,,
11,0.36,4,0.18,3.3,,SE,9,ENE,3.1,121,,
12,0.23,3,0.12,2.6,,ESE,9,ENE,2.2,105,,
13,0.26,2,0.11,2.7,,S,2,ENE,3.1,100,,
14,0.26,3,0.14,2.9,,ENE,2,ENE,3.2,108,,
15,0.4,3.5,0.21,2.8,,NNW,2,ENE,2.5,128,,
16,0.26,2,0.18,2.6,,N,2,NE,3,156,,
17,0.41,3,0.21,2.9,,SSW,3,NE,3.3,176,,
18,0.23,2,0.13,2.4,,NNW,2,NE,2.9,184,,
19,0.26,2.5,0.14,2.2,,NNE,5,NNE,6.6,174,,
20,0.58,2.5,0.32,2.8,E,ESE,6,NNE,6.6,150,,
21,0.5,3,0.22,2.8,,E,9,NNE,7.1,117,,
22,0.38,2.5,0.21,2.6,,ESE,8,NNE,5,80,,
23,0.35,3,0.22,2.7,,ESE,12,NNE,3.7,45,,
24,0.34,2.5,0.2,2.5,,ENE,9,NNE,3.6,16,,
最大,0.58,4,0.32,3.3,最多,平均,17,最多,7.1,平均,平均,
平均,0.31,2.6,0.16,2.6,,NNW,1,NNE,3.2,116,,
2021/1/3,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.26,2,0.14,2.4,,ESE,5,NNE,2.4,2,,
2,0.26,2.5,0.12,2.6,,WSW,4,NNE,2.1,7,,
3,0.24,2,0.12,2.6,,N,10,NNE,2.3,31,,
4,0.18,1.5,0.1,2.6,,WNW,7,NE,1.7,65,,
5,0.34,3.5,0.17,3.1,,NW,10,NNE,2,103,,
6,0.18,2.5,0.1,2.4,,NW,14,NNE,1.8,139,,
7,0.3,2.5,0.16,2.6,,WNW,9,N,1.9,163,,
8,0.32,2.5,0.16,2.7,,NW,10,NNE,2.5,171,,
9,0.28,4,0.15,3,,NNW,5,NNE,1.9,164,,
10,0.19,2.5,0.11,2.6,,NE,3,ENE,2.8,146,,
11,0.28,2.5,0.14,2.4,,SE,1,NE,3.1,126,,
12,0.23,1.5,0.12,2.3,,NNW,1,NE,2.5,105,,
13,0.35,2.5,0.16,2.6,,NNE,5,ENE,1.5,92,,
14,0.32,3.5,0.15,2.8,,N,2,NE,2.7,93,,
15,0.39,2.5,0.2,3,,NW,4,NE,2.5,104,,
16,0.5,3,0.23,2.9,,SW,5,N,3.3,129,,
17,0.39,3.5,0.2,3,,WNW,5,NNE,2.5,151,,
18,0.29,3.5,0.14,2.9,,W,5,N,1.4,162,,
19,0.22,2,0.12,2.5,,SSE,3,NNE,0.9,161,,
20,0.25,2.5,0.13,2.6,,E,1,NNE,0.8,153,,
21,0.25,2,0.12,2.5,,ESE,5,NNE,1.2,135,,
22,0.19,2,0.11,2.3,,E,6,NNW,1.8,109,,
23,0.27,3.5,0.12,2.6,,ESE,11,NW,2.1,79,,
24,0.1,2.5,0.06,2.5,,ESE,14,NNW,2.1,47,,
最大,0.5,4,0.23,3.1,最多,平均,14,最多,3.3,平均,平均,
平均,0.27,2.6,0.14,2.6,,NNW,1.7,NNE,2.1,110,,
2021/1/4,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.11,2.5,0.07,2.5,,SE,10,NNE,1.2,19,,
2,0.11,2.5,0.06,2.8,,SE,5,NNW,1.6,10,,
3,0.12,4,0.06,2.7,,NW,3,NNW,1.5,21,,
4,0.13,4.5,0.07,2.4,,WNW,9,N,3.6,49,,
5,0.44,3.5,0.15,3.1,,NW,8,NNW,3,85,,
6,0.12,2,0.08,2.4,,NW,11,N,1.1,116,,
7,0.38,2.5,0.17,3,,NW,6,NNW,1.2,141,,
8,0.48,4,0.18,2.9,,NW,6,NNW,1.3,157,,
9,0.28,2,0.15,2.9,,WSW,5,WSW,1.2,163,,
10,0.33,3,0.18,2.8,,SSE,3,W,0.3,157,,
11,0.29,2,0.17,2.6,,S,3,SE,1.7,140,,
12,0.23,2,0.14,2.5,,SE,11,ESE,1.8,114,,
13,0.22,2.5,0.14,2.8,,ESE,5,E,1.9,92,,
14,0.33,3,0.16,3.1,,E,4,ESE,2.6,87,,
15,0.33,2,0.19,2.9,,WSW,2,E,1.8,93,,
16,0.66,2.5,0.24,3,,WNW,4,ENE,1.6,107,,
17,0.41,2.5,0.21,2.7,,N,3,NE,0.9,127,,
18,0.31,2.5,0.14,2.7,,WSW,3,NNW,1.8,141,,
19,0.18,2.5,0.11,2.9,,WNW,7,NNE,0.6,145,,
20,0.25,2.5,0.16,2.5,,NW,1,SE,4.7,144,,
21,0.41,2,0.24,2.1,,N,2,SE,5,143,,
22,0.39,2,0.22,2.1,,SE,5,SE,4,127,,
23,0.31,1.5,0.18,2.2,,SSE,6,SE,1.6,106,,
24,0.2,1.5,0.1,2.1,,ESE,10,NW,3.1,75,,
最大,0.66,4.5,0.24,3.1,最多,平均,11,最多,5,平均,平均,
平均,0.29,2.6,0.15,2.7,,SW,0.5,NNW,2,107,,
2021/1/5,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.14,3,0.08,2.5,,SSE,5,NNW,2.5,46,,
2,0.11,1.5,0.07,2.1,,SE,4,NNW,2.1,26,,
3,0.17,2,0.1,2.3,,W,4,NNW,2,24,,
4,0.15,3,0.08,2.1,,WNW,8,N,1.1,37,,
5,0.25,2.5,0.12,3,,NW,7,NNE,2.2,66,,
6,0.19,2,0.1,2.5,,NW,9,NNE,2.4,98,,
7,0.35,3,0.18,2.8,,NW,10,NNE,2.5,126,,
8,0.36,3.5,0.19,2.7,,W,6,N,2.2,144,,
9,0.51,2,0.23,3.5,,NW,2,NNW,1.2,161,,
10,0.23,2.5,0.14,2.8,,E,2,ENE,2.2,163,,
11,0.36,3,0.19,3,,ESE,4,ENE,2.1,149,,
12,0.41,2.5,0.19,2.9,,SE,9,NE,2,125,,
13,0.4,3,0.21,3.4,,E,9,NE,2.1,106,,
14,0.45,3,0.22,2.9,,E,6,E,3.4,93,,
15,0.39,2.5,0.22,2.8,,SSW,5,E,2.1,86,,
16,0.4,2,0.2,2.6,,WSW,7,ENE,2.9,97,,
17,0.46,3.5,0.22,2.7,,WSW,4,ENE,3.5,110,,
18,0.51,3,0.19,2.7,,WSW,5,NE,2,121,,
19,0.38,3,0.19,2.6,,WNW,5,NNE,4.8,131,,
20,0.42,3.5,0.21,2.7,,WSW,6,NNE,4,138,,
21,0.32,2.5,0.16,2.6,,WNW,6,N,1.7,141,,
22,0.23,2.5,0.13,2.5,,E,2,N,1.9,140,,
23,0.37,3,0.18,2.8,,ESE,5,NNE,3.1,129,,
24,0.18,2,0.11,2.5,,E,4,N,2,110,,
最大,0.51,3.5,0.23,3.5,最多,平均,10,最多,4.8,平均,平均,
平均,0.32,2.7,0.16,2.7,,W,1.2,NNE,2.4,107,,
2021/1/6,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.18,2,0.09,2.7,,ESE,6,NNE,2.2,89,,
2,0.17,4,0.09,2.6,,SE,7,N,2.8,66,,
3,0.13,2,0.09,2.4,,E,4,NNW,3.6,51,,
4,0.31,2.5,0.13,2.5,,SW,2,NNE,2.3,49,,
5,0.35,3,0.15,2.8,,NW,3,N,3.3,65,,
6,0.26,2.5,0.11,2.6,,NNW,5,N,3.2,88,,
7,0.46,2.5,0.21,3,,W,3,NNE,6.2,115,,
8,0.37,2.5,0.2,2.6,,NW,3,NNE,6.7,136,,
9,0.37,2.5,0.23,2.6,,W,3,NNE,7.8,152,,
10,0.65,3,0.32,2.9,ESE,NE,3,NNE,6.3,159,,
11,0.62,3.5,0.3,3.1,ENE,ESE,8,N,5.5,156,,
12,0.41,2.5,0.26,2.8,NNE,ESE,21,NNE,4.6,143,,
13,0.44,2.5,0.24,2.8,,ESE,9,NNE,4,127,,
14,0.41,2.5,0.25,2.9,SSW,ESE,12,NE,5.2,108,,
15,0.79,4,0.3,2.8,E,ESE,12,NE,4.5,94,,
16,0.56,3,0.32,2.9,ENE,SSW,4,NE,4.3,89,,
17,0.46,2.5,0.28,2.7,NNE,SSW,3,NNE,4.6,87,,
18,0.96,3,0.37,3,W,WNW,3,NE,5.2,97,,
19,0.48,3,0.29,2.8,SE,NNE,9,NNE,4.8,108,,
20,0.35,2.5,0.21,2.6,,NE,9,NE,4,121,,
21,0.39,2.5,0.21,2.6,,N,6,NNE,2.4,129,,
22,0.29,2.5,0.15,2.5,,NNE,9,N,1.9,139,,
23,0.29,3.5,0.14,2.8,,WNW,5,N,1.6,143,,
24,0.19,3,0.1,2.8,,NNW,8,NNE,1.7,136,,
最大,0.96,4,0.37,3.1,最多,平均,21,最多,7.8,平均,平均,
