年度,道府県分基準財政需要額（A)（億円）,道府県分基準財政需要額（A)増減率（％）,道府県分基準財政収入額（B)（億円）,道府県分基準財政収入額（B)増減率（％）,道府県分交付基準額（A)-（B)（億円）,大都市分基準財政需要額（C)（億円）,大都市分基準財政需要額（C)増減率（％）,大都市分基準財政収入額（D)（億円）,大都市分基準財政収入額（D)増減率（％）,大都市分交付基準額（C)-（D)（億円）,合計基準財政需要額（E)（億円）,合計基準財政需要額（E)増減率（％）,合計基準財政収入額（F)（億円）,合計基準財政収入額（F)増減率（％）,合計交付基準額（E)-（F)（億円）,財政力指数道府県分（B)/(A),財政力指数大都市分（D)/(C),財政力指数合計（F)/(E),地方交付税率（％）所得税,地方交付税率（％）法人税,地方交付税率（％）酒税,地方交付税率（％）消費税,地方交付税率（％）たばこ税,地方交付税率（％）地方法人税,年度
29,209,-,254,-,△45,141,-,221,-,△80,350,-,475,-,△125,1.217,1.567,1.358,19.874,19.874,20,-,-,-,29
30,234,12,244,△3.9,△10,135,△4.3,223,0.9,△88,369,5.4,467,△1.7,△98,1.044,1.644,1.264,22,22,22,-,-,-,30
31,249,6.4,257,5.3,△8,195,44.4,249,11.7,△54,444,20.3,506,8.4,△62,1.029,1.276,1.138,25,25,25,-,-,-,31
32,295,18.5,299,16.3,△4,221,13.3,286,14.9,△65,516,16.2,585,15.6,△69,1.014,1.296,1.135,26,26,26,-,-,-,32
33,350,18.6,364,21.7,△14,257,16.3,324,13.3,△67,607,17.6,688,17.6,△81,1.039,1.26,1.133,27.5,27.5,27.5,-,-,-,33
34,376,7.4,404,11,△28,299,16.3,358,10.5,△59,675,11.2,762,10.8,△87,1.073,1.198,1.128,28.5,28.5,28.5,-,-,-,34
35,495,31.6,543,34.4,△48,374,25.1,410,14.5,△36,869,28.7,953,25.1,△84,1.096,1.096,1.096,28.5(0.3),28.5（0.3）,28.5（0.3）,-,-,-,35
36,630,27.3,800,47.3,△170,497,32.9,512,24.9,△15,1127,29.7,1312,37.7,△185,1.269,1.031,1.164,28.5(0.3),28.5（0.3）,28.5（0.3）,-,-,-,36
37,776,23.2,1005,25.6,△229,646,30,606,18.4,40,1422,26.2,1611,22.8,△189,1.294,0.934,1.133,28.9,28.9,28.9,-,-,-,37
38,923,18.9,1114,10.8,△191,741,14.7,690,13.9,51,1664,17,1804,12,△140,1.207,0.932,1.084,28.9,28.9,28.9,-,-,-,38
39,1107,19.9,1288,15.6,△181,977,31.8,837,21.3,140,2084,25.2,2125,17.8,△41,1.164,0.856,1.02,28.9,28.9,28.9,-,-,-,39
40,1232,11.3,1439,11.7,△207,1103,12.9,949,13.4,154,2335,12,2388,12.4,△53,1.168,0.861,1.023,29.5,29.5,29.5,-,-,-,40
41,1243,0.9,1491,3.6,△248,1198,8.6,1035,9.1,163,2441,4.5,2526,5.8,△85,1.199,0.864,1.035,32,32,32,-,-,-,41
42,1549,24.6,1818,21.9,△269,1362,13.7,1177,13.7,185,2911,19.3,2995,18.6,△84,1.174,0.865,1.029,32,32,32,-,-,-,42
43,1813,17,2130,17.2,△317,1586,16.4,1372,16.6,214,3399,16.8,3502,16.9,△103,1.174,0.865,1.03,32,32,32,-,-,-,43
44,2211,22,2740,28.6,△529,1959,23.5,1636,19.2,323,4170,22.7,4376,25,△206,1.239,0.835,1.049,32,32,32,-,-,-,44
45,2688,21.6,3297,20.3,△609,2409,23,1888,15.4,521,5097,22.2,5185,18.5,△88,1.227,0.784,1.017,32,32,32,-,-,-,45
46,3033,12.8,3679,11.6,△646,2741,13.8,2170,14.9,571,5774,13.3,5849,12.8,△75,1.213,0.792,1.013,32,32,32,-,-,-,46
47,3185,5,3968,7.9,△783,2923,6.6,2436,12.3,487,6108,5.8,6404,9.5,△296,1.246,0.833,1.048,32,32,32,-,-,-,47
48,3990,25.3,4938,24.4,△948,3524,20.6,3079,26.4,445,7514,23,8017,25.2,△503,1.238,0.874,1.067,32,32,32,-,-,-,48
49,5284,32.4,6107,23.7,△823,4609,30.8,4086,32.7,523,9893,31.7,10193,27.1,△300,1.156,0.887,1.03,32,32,32,-,-,-,49
50,5703,7.9,6667,9.2,△964,5178,12.3,4784,17.1,394,10881,10,11451,12.3,△570,1.169,0.924,1.052,32,32,32,-,-,-,50
51,5658,△0.8,6772,1.6,△1114,5624,8.6,4969,3.9,655,11282,3.7,11741,2.5,△459,1.197,0.883,1.041,32,32,32,-,-,-,51
52,6305,11.4,7364,8.7,△1059,5926,5.4,5963,20,△37,12231,8.4,13327,13.5,△1096,1.168,1.006,1.09,32,32,32,-,-,-,52
53,7053,11.9,7851,6.6,△798,6401,8,6443,8,△42,13454,10,14294,7.3,△840,1.113,1.006,1.062,32,32,32,-,-,-,53
54,7672,8.8,8498,8.2,△826,6957,8.7,6982,8.4,△25,14629,8.7,15480,8.3,△851,1.108,1.004,1.058,32,32,32,-,-,-,54
55,8404,9.5,9700,14.1,△1296,7523,8.1,7654,9.6,△131,15927,8.9,17354,12.1,△1427,1.154,1.017,1.09,32,32,32,-,-,-,55
56,9013,7.2,10796,11.3,△1783,8223,9.3,8830,15.4,△607,17236,8.2,19626,13.1,△2390,1.198,1.074,1.139,32,32,32,-,-,-,56
57,9450,4.8,11384,5.4,△1934,8770,6.7,9498,7.6,△728,18220,5.7,20882,6.4,△2662,1.205,1.083,1.146,32,32,32,-,-,-,57
