利率別／借入先別,長期債財政融資証書（円）,長期債簡保証書（円）,長期債郵貯証書（円）,長期債国庫証書（円）,長期債地方機構証書（円）,長期債中小機構証書（円）,長期債公募債券（円）,長期債銀行証書・債券（円）,長期債外債債券（円）,長期債計（円）,合計（円）
0.010,-,-,-,-,-,-,-,828000000,-,828000000,828000000
0.060,-,-,-,-,-,-,10709000000,-,-,10709000000,10709000000
0.065,-,-,-,-,-,-,30000000000,-,-,30000000000,30000000000
0.100,-,-,-,-,-,-,-,885000000,-,885000000,885000000
0.120,-,-,-,-,-,-,55000000000,-,-,55000000000,55000000000
0.126,-,-,-,-,-,-,30000000000,-,-,30000000000,30000000000
0.130,-,-,-,-,-,-,-,934000000,-,934000000,934000000
0.180,-,-,-,-,-,-,20000000000,866000000,-,20866000000,20866000000
0.200,157000000,-,-,-,124000000,-,-,-,-,281000000,281000000
0.220,-,-,-,-,-,-,20000000000,-,-,20000000000,20000000000
0.238,-,-,-,-,-,-,30000000000,-,-,30000000000,30000000000
0.249,-,-,-,-,-,-,10000000000,-,-,10000000000,10000000000
0.290,-,-,-,-,-,-,30000000000,-,-,30000000000,30000000000
0.316,-,-,-,-,-,-,20000000000,-,-,20000000000,20000000000
0.320,-,-,-,-,-,-,20000000000,-,-,20000000000,20000000000
0.330,-,-,-,-,-,-,-,4067000000,-,4067000000,4067000000
0.350,-,-,-,-,-,-,20000000000,-,-,20000000000,20000000000
0.370,-,-,-,-,-,-,30000000000,-,-,30000000000,30000000000
0.386,-,-,-,-,-,-,40000000000,-,-,40000000000,40000000000
0.400,3751967603,-,-,-,3946567362,-,-,-,-,7698534965,7698534965
0.426,-,-,-,-,-,-,40000000000,-,-,40000000000,40000000000
0.435,-,-,-,-,-,-,50000000000,-,-,50000000000,50000000000
0.436,-,-,-,-,-,-,40000000000,-,-,40000000000,40000000000
0.444,-,-,-,-,-,-,40000000000,-,-,40000000000,40000000000
0.456,-,-,-,-,-,-,50000000000,-,-,50000000000,50000000000
0.463,-,-,-,-,-,-,30000000000,-,-,30000000000,30000000000
0.475,-,-,-,-,-,-,50000000000,-,-,50000000000,50000000000
0.499,-,-,-,-,-,-,40000000000,-,-,40000000000,40000000000
0.500,31507000000,-,-,-,-,-,-,-,-,31507000000,31507000000
0.505,-,-,-,-,-,-,50000000000,-,-,50000000000,50000000000
0.509,-,-,-,-,-,-,50000000000,-,-,50000000000,50000000000
0.510,-,-,-,-,-,-,30000000000,-,-,30000000000,30000000000
0.520,-,-,-,-,-,-,50000000000,-,-,50000000000,50000000000
0.533,-,-,-,-,-,-,40000000000,-,-,40000000000,40000000000
0.551,-,-,-,-,-,-,30000000000,-,-,30000000000,30000000000
0.577,-,-,-,-,-,-,40000000000,-,-,40000000000,40000000000
0.580,-,-,-,-,-,-,20000000000,-,-,20000000000,20000000000
0.581,-,-,-,-,-,-,50000000000,-,-,50000000000,50000000000
0.588,-,-,-,-,-,-,30000000000,-,-,30000000000,30000000000
0.600,-,-,91000341,-,-,-,40000000000,-,-,40091000341,40091000341
0.620,-,-,-,-,-,-,30000000000,-,-,30000000000,30000000000
0.630,-,-,-,-,-,-,30000000000,-,-,30000000000,30000000000
0.635,-,-,-,-,-,-,50000000000,-,-,50000000000,50000000000
0.645,-,-,-,-,-,-,30000000000,-,-,30000000000,30000000000
0.650,-,-,-,-,-,-,30000000000,-,-,30000000000,30000000000
0.660,-,-,-,-,-,-,40000000000,-,-,40000000000,40000000000
0.664,-,-,-,-,-,-,30000000000,-,-,30000000000,30000000000
0.690,-,-,-,-,-,-,50000000000,-,-,50000000000,50000000000
0.700,234800000,25998044,-,-,274898684,-,80000000000,-,-,80535696728,80535696728
0.720,-,-,-,-,-,-,40000000000,-,-,40000000000,40000000000
0.730,-,-,-,-,-,-,40000000000,-,-,40000000000,40000000000
0.740,-,-,-,-,-,-,30000000000,-,-,30000000000,30000000000
0.760,-,-,-,-,-,-,90000000000,-,-,90000000000,90000000000
0.770,-,-,-,-,-,-,120000000000,-,-,120000000000,120000000000
0.780,-,-,-,-,-,-,60000000000,-,-,60000000000,60000000000
0.800,612050109,-,-,-,-,-,40000000000,-,-,40612050109,40612050109
0.810,-,-,-,-,-,-,40000000000,-,-,40000000000,40000000000
0.820,-,-,-,-,-,-,40000000000,-,-,40000000000,40000000000
0.840,-,-,-,-,-,-,60000000000,-,-,60000000000,60000000000
0.860,-,-,-,-,-,-,70000000000,-,-,70000000000,70000000000
