区分,29年度発売額（千円),29年度発売額（回）,28年度発売額（千円),28年度発売額（回）,増（△）減発売額（千円),29年度収益額（千円),28年度収益額（千円),増（△）減収益額（千円),備考
発売益金東京都宝くじ,12200000,35,12200000,35,0,5124000,5124000,0,"（福祉保健局）認証保育所事業3,873,000/周産期医療施設等整備323,000/子育て推進交付金19,229,000/待機児童解消区市町村支援事業11,286,000/軽費老人ホーム運営費補助600,000/ケアハウス運営費補助2,655,000/老人福祉等施設整備助成101,000/児童福祉施設整備助成2,000/障害者（児）福祉施設整備助成64,000/乳児医療費助成事業補助3,941,000/義務教育就学児医療費助成事業補助3,572,000/（建設局）中小河川整備548,000/公園整備3,276,000/（教育庁）都立学校校舎改築等1,246,000/（ｵﾘﾝﾋﾟｯｸ･ﾊﾟﾗﾘﾝﾋﾟｯｸ準備局）ラグビーワールドカップ2019の開催準備373,352/（生活文化局）文化プログラム事業（伝統文化体験）68,000"
発売益金全国自治宝くじ数字選択くじ,53311000,723,56551000,725,△3240000,22390000,23751000,△1361000,"（福祉保健局）認証保育所事業3,873,000/周産期医療施設等整備323,000/子育て推進交付金19,229,000/待機児童解消区市町村支援事業11,286,000/軽費老人ホーム運営費補助600,000/ケアハウス運営費補助2,655,000/老人福祉等施設整備助成101,000/児童福祉施設整備助成2,000/障害者（児）福祉施設整備助成64,000/乳児医療費助成事業補助3,941,000/義務教育就学児医療費助成事業補助3,572,000/（建設局）中小河川整備548,000/公園整備3,276,000/（教育庁）都立学校校舎改築等1,246,000/（ｵﾘﾝﾋﾟｯｸ･ﾊﾟﾗﾘﾝﾋﾟｯｸ準備局）ラグビーワールドカップ2019の開催準備373,352/（生活文化局）文化プログラム事業（伝統文化体験）68,000"
発売益金全国自治宝くじラグビーＷ杯協賛宝くじ（数字選択くじ）,933380,56,-,,933380,373352,-,373352,"（福祉保健局）認証保育所事業3,873,000/周産期医療施設等整備323,000/子育て推進交付金19,229,000/待機児童解消区市町村支援事業11,286,000/軽費老人ホーム運営費補助600,000/ケアハウス運営費補助2,655,000/老人福祉等施設整備助成101,000/児童福祉施設整備助成2,000/障害者（児）福祉施設整備助成64,000/乳児医療費助成事業補助3,941,000/義務教育就学児医療費助成事業補助3,572,000/（建設局）中小河川整備548,000/公園整備3,276,000/（教育庁）都立学校校舎改築等1,246,000/（ｵﾘﾝﾋﾟｯｸ･ﾊﾟﾗﾘﾝﾋﾟｯｸ準備局）ラグビーワールドカップ2019の開催準備373,352/（生活文化局）文化プログラム事業（伝統文化体験）68,000"
発売益金全国自治宝くじ文化事業及び国際交流事業（数字選択くじ）,164179,,-,,164179,68000,-,68000,"（福祉保健局）認証保育所事業3,873,000/周産期医療施設等整備323,000/子育て推進交付金19,229,000/待機児童解消区市町村支援事業11,286,000/軽費老人ホーム運営費補助600,000/ケアハウス運営費補助2,655,000/老人福祉等施設整備助成101,000/児童福祉施設整備助成2,000/障害者（児）福祉施設整備助成64,000/乳児医療費助成事業補助3,941,000/義務教育就学児医療費助成事業補助3,572,000/（建設局）中小河川整備548,000/公園整備3,276,000/（教育庁）都立学校校舎改築等1,246,000/（ｵﾘﾝﾋﾟｯｸ･ﾊﾟﾗﾘﾝﾋﾟｯｸ準備局）ラグビーワールドカップ2019の開催準備373,352/（生活文化局）文化プログラム事業（伝統文化体験）68,000"
発売益金全国自治宝くじ通常くじ通常＋災害分,4343191,14,4525667,14,△182476,1824000,1900000,△76000,"（福祉保健局）認証保育所事業3,873,000/周産期医療施設等整備323,000/子育て推進交付金19,229,000/待機児童解消区市町村支援事業11,286,000/軽費老人ホーム運営費補助600,000/ケアハウス運営費補助2,655,000/老人福祉等施設整備助成101,000/児童福祉施設整備助成2,000/障害者（児）福祉施設整備助成64,000/乳児医療費助成事業補助3,941,000/義務教育就学児医療費助成事業補助3,572,000/（建設局）中小河川整備548,000/公園整備3,276,000/（教育庁）都立学校校舎改築等1,246,000/（ｵﾘﾝﾋﾟｯｸ･ﾊﾟﾗﾘﾝﾋﾟｯｸ準備局）ラグビーワールドカップ2019の開催準備373,352/（生活文化局）文化プログラム事業（伝統文化体験）68,000"
発売益金全国自治宝くじ通常くじラグビーＷ杯協賛宝くじ,-,,66690,,△66690,-,26676,△26676,"（福祉保健局）認証保育所事業3,873,000/周産期医療施設等整備323,000/子育て推進交付金19,229,000/待機児童解消区市町村支援事業11,286,000/軽費老人ホーム運営費補助600,000/ケアハウス運営費補助2,655,000/老人福祉等施設整備助成101,000/児童福祉施設整備助成2,000/障害者（児）福祉施設整備助成64,000/乳児医療費助成事業補助3,941,000/義務教育就学児医療費助成事業補助3,572,000/（建設局）中小河川整備548,000/公園整備3,276,000/（教育庁）都立学校校舎改築等1,246,000/（ｵﾘﾝﾋﾟｯｸ･ﾊﾟﾗﾘﾝﾋﾟｯｸ準備局）ラグビーワールドカップ2019の開催準備373,352/（生活文化局）文化プログラム事業（伝統文化体験）68,000"
発売益金全国自治宝くじ通常くじ2020年オリンピックパラリンピック協賛宝くじ,-,,2500000,,△2500000,-,950000,△950000,"（福祉保健局）認証保育所事業3,873,000/周産期医療施設等整備323,000/子育て推進交付金19,229,000/待機児童解消区市町村支援事業11,286,000/軽費老人ホーム運営費補助600,000/ケアハウス運営費補助2,655,000/老人福祉等施設整備助成101,000/児童福祉施設整備助成2,000/障害者（児）福祉施設整備助成64,000/乳児医療費助成事業補助3,941,000/義務教育就学児医療費助成事業補助3,572,000/（建設局）中小河川整備548,000/公園整備3,276,000/（教育庁）都立学校校舎改築等1,246,000/（ｵﾘﾝﾋﾟｯｸ･ﾊﾟﾗﾘﾝﾋﾟｯｸ準備局）ラグビーワールドカップ2019の開催準備373,352/（生活文化局）文化プログラム事業（伝統文化体験）68,000"
発売益金全国自治宝くじ通常くじバレンタイン通常分（旧・グリーンジャンボ）,1382430,,885155,,497275,580000,371000,209000,"（福祉保健局）認証保育所事業3,873,000/周産期医療施設等整備323,000/子育て推進交付金19,229,000/待機児童解消区市町村支援事業11,286,000/軽費老人ホーム運営費補助600,000/ケアハウス運営費補助2,655,000/老人福祉等施設整備助成101,000/児童福祉施設整備助成2,000/障害者（児）福祉施設整備助成64,000/乳児医療費助成事業補助3,941,000/義務教育就学児医療費助成事業補助3,572,000/（建設局）中小河川整備548,000/公園整備3,276,000/（教育庁）都立学校校舎改築等1,246,000/（ｵﾘﾝﾋﾟｯｸ･ﾊﾟﾗﾘﾝﾋﾟｯｸ準備局）ラグビーワールドカップ2019の開催準備373,352/（生活文化局）文化プログラム事業（伝統文化体験）68,000"
発売益金全国自治宝くじ通常くじバレンタイン均等割分（旧・グリーンジャンボ）,165000,,165000,,0,69000,69000,0,"（福祉保健局）認証保育所事業3,873,000/周産期医療施設等整備323,000/子育て推進交付金19,229,000/待機児童解消区市町村支援事業11,286,000/軽費老人ホーム運営費補助600,000/ケアハウス運営費補助2,655,000/老人福祉等施設整備助成101,000/児童福祉施設整備助成2,000/障害者（児）福祉施設整備助成64,000/乳児医療費助成事業補助3,941,000/義務教育就学児医療費助成事業補助3,572,000/（建設局）中小河川整備548,000/公園整備3,276,000/（教育庁）都立学校校舎改築等1,246,000/（ｵﾘﾝﾋﾟｯｸ･ﾊﾟﾗﾘﾝﾋﾟｯｸ準備局）ラグビーワールドカップ2019の開催準備373,352/（生活文化局）文化プログラム事業（伝統文化体験）68,000"
発売益金全国自治宝くじ特別くじドリームジャンボ,9894000,1,9945000,1,△51000,4155000,4176000,△21000,"（福祉保健局）認証保育所事業3,873,000/周産期医療施設等整備323,000/子育て推進交付金19,229,000/待機児童解消区市町村支援事業11,286,000/軽費老人ホーム運営費補助600,000/ケアハウス運営費補助2,655,000/老人福祉等施設整備助成101,000/児童福祉施設整備助成2,000/障害者（児）福祉施設整備助成64,000/乳児医療費助成事業補助3,941,000/義務教育就学児医療費助成事業補助3,572,000/（建設局）中小河川整備548,000/公園整備3,276,000/（教育庁）都立学校校舎改築等1,246,000/（ｵﾘﾝﾋﾟｯｸ･ﾊﾟﾗﾘﾝﾋﾟｯｸ準備局）ラグビーワールドカップ2019の開催準備373,352/（生活文化局）文化プログラム事業（伝統文化体験）68,000"
