科目,27年度（億円）,26年度（億円）,増減額（億円）
行政サービス活動収入合計,60667,57339,3327
行政サービス活動支出合計,52534,50576,1957
行政サービス活動収支差額,8133,6762,1370
社会資本整備等投資活動収支合計,6604,6959,△335
社会資本整備等投資活動支出合計,12376,10031,2344
社会資本整備等投資活動収支差額,△5772,△3072,△2700
行政活動キャッシュ・フロー収支差額,2360,3690,△1329
財務活動財務活動収入,1597,1705,△108
財務活動財務活動支出,4436,4931,△494
財務活動収支差額,△2839,△3225,386
収支差額合計,△478,464,△943
前年度からの繰越金,2994,2529,464
形式収支,2515,2994,△478
