科目,27年度（億円）,26年度（億円）,増減額（億円）
資産の部合計,6723599,6798114,△74514
うち有形固定資産,1804653,1795735,8918
うち有価証券,1247636,1394771,△147135
負債の部合計,11931637,11718103,213534
うち公債,9174735,8849151,325583
資産・負債差額の部合計,△5208038,△4919990,△288048
負債及び資産・負債差額合計,6723599,6798114,△74514
資産に対する負債の割合（％）,177.5,172.4,-
