,東京都住宅供給公社F1（百万円）,（単純合計）（F）（百万円）
損益計算書営業利益(1)＝a-b,11798,11798
損益計算書営業利益(1)＝a-b営業収益a,135944,135944
損益計算書営業利益(1)＝a-b営業費用b,124145,124145
損益計算書営業利益(1)＝a-b事業原価,122744,122744
損益計算書営業利益(1)＝a-b一般管理費,1401,1401
損益計算書営業外利益(2)＝c-d,△181,△181
損益計算書営業外利益(2)＝c-d営業外収益c,428,428
損益計算書営業外利益(2)＝c-d営業外費用d,610,610
損益計算書経常収支(1)＋(2),11616,11616
損益計算書特別利益(3)＝e-f,△3642,△3642
損益計算書特別利益(3)＝e-f特別収益e,54,54
損益計算書特別利益(3)＝e-f特別費用f,3696,3696
損益計算書特別法上の引当計上前利益(4)＝(1)＋(2)＋(3),7973,7973
損益計算書特別法上の引当(5),-,-
損益計算書特定準備金取崩(6),-,-
損益計算書特定準備金繰入(7),-,-
損益計算書当期利益(4)＋(5)＋(6)-(7),7973,7973
貸借対照表／〔資産の部〕1流動資産,58670,58670
貸借対照表／〔資産の部〕1流動資産現金預金,37171,37171
貸借対照表／〔資産の部〕1流動資産その他の流動資産,21499,21499
貸借対照表／〔資産の部〕2固定資産,1204815,1204815
貸借対照表／〔資産の部〕2固定資産有形固定資産,1191763,1191763
貸借対照表／〔資産の部〕2固定資産有形固定資産土地,1037,1037
貸借対照表／〔資産の部〕2固定資産有形固定資産その他の有形固定資産（建物等）,1190725,1190725
貸借対照表／〔資産の部〕2固定資産無形固定資産,1360,1360
貸借対照表／〔資産の部〕2固定資産投資等,11691,11691
貸借対照表／〔資産の部〕2固定資産投資等長期貸付金,-,-
貸借対照表／〔資産の部〕2固定資産投資等基金,-,-
貸借対照表／〔資産の部〕2固定資産投資等その他の投資等,11691,11691
貸借対照表／〔資産の部〕3繰延資産,-,-
貸借対照表／資産合計,1263485,1263485
貸借対照表／〔負債の部〕1流動負債,48380,48380
貸借対照表／〔負債の部〕2固定負債,816133,816133
貸借対照表／〔負債の部〕2固定負債長期借入金,669769,669769
貸借対照表／〔負債の部〕2固定負債その他の固定負債,146364,146364
貸借対照表／〔負債の部〕3繰延収益,-,-
貸借対照表／負債合計,864514,864514
貸借対照表／〔資本の部〕資本合計,398971,398971
貸借対照表／〔資本の部〕資本合計うち当期増減額,7973,7973
貸借対照表／負債・資本合計,1263485,1263485
都の関与の状況出資等比率（%）,100,
都の関与の状況都派遣職員数（人）/常勤職員数（人）,10/599,
