科目,27年度（億円）,26年度（億円）,増減額（億円）
通常収支の部収入合計,60654,57416,3237
通常収支の部収入合計うち地方税,51567,47399,4168
通常収支の部費用合計,54055,52205,1850
通常収支の部費用合計うち税連動経費,14394,12905,1489
通常収支の部費用合計うち給与関係費,13140,12924,216
通常収支差額,6599,5211,1387
特別収支差額,△167,△71,△96
当期収支差額,6431,5139,1291
