会計分類,会計,借入区分,借入方法,借入先,銘柄,費目,事業名,起債額（千円）,起債許可年度,起債年月日（年月日）,償還期間自（年月）,償還期間至（年月）,元利金支払期日上期（年月）,元利金支払期日下期（年月）,利率（％）,平成28年度支払予定額元金上期（円）,平成28年度支払予定額元金下期（円）,平成28年度支払予定額利子上期（円）,平成28年度支払予定額利子下期（円）,平成27年度末現在高（円）
一般会計,一般会計普通債,長期債,証書,財政融資,財政融資61003,保健衛生費,水道事業会計出資金,712000,61,62.03.25,62.09,29.03,09.25,03.25,5.200,24326445,24958932,1281420,648933,49285377
一般会計,一般会計普通債,長期債,証書,財政融資,財政融資61009,土木費,新都市開発整備費,173000,61,62.05.30,62.09,29.03,09.25,03.25,4.600,5597800,5726546,260460,131711,11324346
一般会計,一般会計普通債,長期債,証書,財政融資,財政融資62003,保健衛生費,水道事業会計出資金,840000,62,63.03.25,63.09,30.03,09.25,03.25,5.000,26831330,27502113,2785438,2114655,111417517
一般会計,一般会計普通債,長期債,証書,財政融資,財政融資62011,土木費,新都市開発整備費,512000,62,63.05.26,63.09,30.03,09.25,03.25,4.800,16091819,16478023,1601323,1215119,66721797
一般会計,一般会計普通債,長期債,証書,財政融資,財政融資62012,社会及労働施設費,養育院施設整備費,75000,62,63.05.26,63.09,30.03,09.25,03.25,4.800,2357200,2413773,234569,177996,9773700
一般会計,一般会計普通債,長期債,証書,財政融資,財政融資63007,保健衛生費,水道事業会計出資金,1051000,63,01.03.27,01.09,31.03,09.25,03.25,4.850,31614845,32381505,4888015,4121355,201567627
一般会計,一般会計普通債,長期債,証書,財政融資,財政融資63010,土木費,新都市開発整備費,813000,63,01.05.26,01.09,31.03,09.25,03.25,4.850,24455632,25048681,3781119,3188070,155922436
一般会計,一般会計普通債,長期債,証書,財政融資,財政融資01009,保健衛生費,水道事業会計出資金,1214000,01,02.03.26,02.09,02.03,09.25,03.25,6.200,37663239,38830800,10419256,9251695,336105011
一般会計,一般会計普通債,長期債,証書,財政融資,財政融資01011,土木費,新都市開発整備費,336000,01,02.04.26,02.09,02.03,09.25,03.25,6.200,10424093,10747240,2883747,2560600,93024121
一般会計,一般会計普通債,長期債,証書,財政融資,財政融資01011,土木費,新都市開発整備費,284000,01,02.04.26,02.09,02.03,09.25,03.25,6.200,8810840,9083976,2437454,2164318,78627530
一般会計,一般会計普通債,長期債,証書,財政融資,財政融資02001,保健衛生費,水道事業会計出資金,1668000,02,03.03.25,03.09,03.03,09.25,03.25,6.600,49558520,51193951,19009489,17374058,576045140
一般会計,一般会計普通債,長期債,証書,財政融資,財政融資02002,保健衛生費,病院建設費(荏原病院･移管分),329000,02,03.03.25,03.09,03.03,09.25,03.25,6.600,9775032,10097608,3749473,3426897,113620414
一般会計,一般会計普通債,長期債,証書,財政融資,財政融資02011,土木費,新都市開発整備費,285000,02,03.04.25,03.09,03.03,09.25,03.25,6.600,8467733,8747168,3248024,2968589,98424981
一般会計,一般会計普通債,長期債,証書,財政融資,財政融資03001,保健衛生費,水道事業会計出資金,1537000,03,04.03.25,04.09,04.03,09.25,03.25,5.500,41112479,42243072,15819414,14688821,575251446
一般会計,一般会計普通債,長期債,証書,財政融資,財政融資03002,保健衛生費,病院建設費(荏原病院･移管分),3215000,03,04.03.25,04.09,04.03,09.25,03.25,5.500,85996499,88361402,33090057,30725154,1203274818
一般会計,一般会計普通債,長期債,証書,財政融資,財政融資03003,保健衛生費,看護婦寄宿舎建設費(荏原病院･移管分),28000,03,04.03.25,04.09,04.03,09.25,03.25,5.500,748959,769555,288187,267591,10479532
一般会計,一般会計普通債,長期債,証書,財政融資,財政融資03009,土木費,新都市開発整備費,247000,03,04.04.27,04.09,04.03,09.25,03.25,5.500,6606885,6788574,2542222,2360533,92444442
一般会計,一般会計普通債,長期債,証書,財政融資,財政融資04001,その他（普通債）,地下高速鉄道建設費出資金（交通局）,980000,04,05.03.25,05.09,05.03,09.25,03.25,4.400,23973637,24501057,8538571,8011151,388116864
