科目,27年度（億円）,26年度（億円）,増減額（億円）
資産の部,,,
1流動資産,14267,15308,△1040
現金預金,2619,3070,△450
収入未済,918,1085,△166
不納欠損引当金,△126,△141,15
基金積立金,8908,8944,△36
財政調整基金,6247,5663,584
減債基金,2660,3280,△620
短期貸付金,1958,2349,△391
貸倒引当金,△12,△0,△12
その他流動資産,1,-,1
2固定資産,320479,315342,5136
1行政財産,81064,80838,225
1有形固定資産,81005,80779,225
建物,25907,26163,△256
工作物,3371,3341,29
立木,6,6,△0
船舶等,166,177,△11
浮標等,7,8,△0
土地,51546,51081,464
2無形固定資産,59,59,-
地上権,59,59,-
その他無形固定資産,-,-,-
2普通財産,10787,10925,△137
1有形固定資産,10686,10832,△146
建物,3650,3709,△59
工作物,699,726,△27
立木,0,0,△0
船舶等,1,4,△2
浮標等,4,5,△0
土地,6329,6385,△56
2無形固定資産,101,92,9
地上権,11,3,8
その他無形固定資産,89,88,0
3重要物品,818,846,△27
4インフラ資産,143105,142176,929
1有形固定資産,142965,142035,929
土地,123022,122497,524
土地以外,19943,19538,404
2無形固定資産,140,140,-
地上権,140,140,-
その他無形固定資産,-,-,-
5リース資産,82,82,△0
6建設仮勘定,13668,13164,503
7投資その他の資産,70951,67308,3643
有価証券及出資金,7374,7353,21
公営企業会計出資金,19847,19359,488
長期貸付金,12159,13588,△1429
貸倒引当金,△38,△56,17
その他債権,110,113,△2
基金積立金,29825,25276,4548
減債基金,10538,10051,487
特定目的基金,16425,12387,4038
定額運用基金,2860,2837,23
その他投資等,1673,1673,-
資産の部合計,334747,330651,4096
負債の部,,,
1流動負債,4311,5417,△1105
還付未済金,14,13,0
都債,3430,4561,△1131
短期借入金,4,0,4
他会計借入金,-,-,-
基金運用金,-,-,-
その他短期借入金,4,0,4
リース債務,6,6,△0
未払金,-,-,-
支払繰延,-,-,-
未払保証債務,-,-,-
その他未払金,-,-,-
賞与引当金,834,813,20
その他流動負債,22,22,-
2固定負債,69342,71501,△2158
都債,59060,60921,△1860
長期借入金,94,72,22
他会計借入金,91,64,26
基金運用金,-,-,-
その他長期借入金,3,7,△4
リース債務,37,36,0
退職給与引当金,10090,10388,△298
その他引当金,-,-,-
その他固定負債,59,81,△22
預り保証金,-,-,-
その他固定負債,59,81,△22
負債の部合計,73654,76918,△3264
正味財産の部,,,
正味財産,261092,253732,7360
（うち当期正味財産増減額）,7360,6528,831
正味財産の部合計,261092,253732,7360
負債及び正味財産の部合計,334747,330651,4096
