区分,27年度,26年度,増減
負債の部合計（A）　単位：（億円）,73654,76918,△3264
資産の部合計（B）　単位：（億円）,334747,330651,4096
資産に対する負債の割合（A）/（B）×100　単位：（％）,22,23.3,△1.3
