区分,27年度末（億円）
法人事業税国税化対策特別基金,-
社会資本等整備基金,6043
東京オリンピック・パラリンピック開催準備基金,4010
スポーツ・文化振興交流基金,-
福祉・健康安心基金,74
緑の東京募金基金,0
公害健康被害予防基金,28
東京都尖閣諸島寄附金による尖閣諸島活用基金,14
防災街づくり基金,3000
都市外交人材育成基金,80
人に優しく快適な街づくり基金,400
芸術文化振興基金,100
水素社会・スマートエネルギー都市づくり推進基金,400
福祉先進都市実現基金,600
おもてなし・観光基金,200
災害救助基金,175
心身障害者扶養年金基金,539
介護保険財政安定化基金,33
国民健康保険広域化等支援基金,25
森林整備地域活動支援基金,0
後期高齢者医療財政安定化基金,211
消費者行政活性化基金,2
安心こども基金,92
緊急雇用創出事業臨時特例基金,-
社会福祉施設等耐震化等臨時特例基金,40
地域医療再生基金,4
医療施設耐震化臨時特例基金,28
地域自殺対策緊急強化基金,0
介護職員処遇改善等臨時特例基金,-
介護基盤緊急整備等臨時特例基金,-
森林整備加速化・林業再生基金,0
農業構造改革支援基金,1
地域医療介護総合確保基金,288
再生可能エネルギー等導入推進基金,7
国民健康保険財政安定化基金,21
区市町村振興基金,2859
用品調達基金,1
計,19286
