区分,27年度（億円）
都民税,17890
事業税,9419
地方消費税,6792
不動産取得税,776
都たばこ税,178
自動車取得税,138
軽油引取税,408
自動車税,1056
固定資産税,11672
特別土地保有税,0
事業所税,1008
都市計画税,2254
その他,27
計,51624
