,18年度,19年度,20年度,21年度,22年度,23年度,24年度,25年度,26年度,27年度
都債現在高（兆円）,,,,,,,,,,4.8998
都債発行額（億円）,,,,4753,,,,,,1562
（注）普通会計決算における都債現在高は、満期一括償還地方債の元金償還に充てるための減債基金積立額などをのぞいたものです。そのため、賃借対照表における「都債」の金額とは一致しません。,,,,,,,,,,
