,普通会計A（百万円）,「特別会計」Bと場会計B1（百万円）,「特別会計」B都営住宅等保証金会計B2（百万円）,（単純合計）(A＋B)（百万円）
行政コスト計算書／〔通常収支の部〕行政コスト計算書1行政収支の部(1)＝a-b,733920,△3533,15,730403
行政コスト計算書／〔通常収支の部〕行政コスト計算書1行政収支の部(1)＝a-b行政収入a,6050101,1478,45,6051625
行政コスト計算書／〔通常収支の部〕行政コスト計算書1行政収支の部(1)＝a-b行政収入a地方税等,5428748,-,-,5428748
行政コスト計算書／〔通常収支の部〕行政コスト計算書〔通常収支の部〕行政コスト計算書1行政収支の部(1)＝a-b行政収入a交付金等,7832,-,-,7832
行政コスト計算書／〔通常収支の部〕行政コスト計算書1行政収支の部(1)＝a-b行政収入a国庫支出金,284078,-,-,284078
行政コスト計算書／〔通常収支の部〕行政コスト計算書1行政収支の部(1)＝a-b行政収入a繰入金,2952,-,42,2994
行政コスト計算書／〔通常収支の部〕行政コスト計算書1行政収支の部(1)＝a-b行政収入aその他,326490,1478,3,327972
行政コスト計算書／〔通常収支の部〕行政コスト計算書1行政収支の部(1)＝a-b行政費用b,5316180,5011,30,5321222
行政コスト計算書／〔通常収支の部〕行政コスト計算書1行政収支の部(1)＝a-b行政費用b税連動経費,1439481,-,-,1439481
行政コスト計算書／〔通常収支の部〕行政コスト計算書1行政収支の部(1)＝a-b行政費用b給与関係費,1314074,2106,-,1316181
行政コスト計算書／〔通常収支の部〕行政コスト計算書1行政収支の部(1)＝a-b行政費用b補助費等,1097888,1117,-,1099005
行政コスト計算書／〔通常収支の部〕行政コスト計算書1行政収支の部(1)＝a-b行政費用b投資的経費,403622,8,-,403630
行政コスト計算書／〔通常収支の部〕行政コスト計算書1行政収支の部(1)＝a-b行政費用b繰出金,196825,30,-,196855
行政コスト計算書／〔通常収支の部〕行政コスト計算書1行政収支の部(1)＝a-b行政費用bその他,864288,1779,-,866067
行政コスト計算書／〔通常収支の部〕行政コスト計算書2金融収支の部(2)＝c-d,△73960,△49,-,△74010
行政コスト計算書／〔通常収支の部〕行政コスト計算書2金融収支の部(2)＝c-d金融収入c,15378,0,-,15378
行政コスト計算書／〔通常収支の部〕行政コスト計算書2金融収支の部(2)＝c-d金融費用d,89339,49,-,89389
行政コスト計算書／通常収支差額(3)＝(1)＋(2),659960,△3583,15,656392
行政コスト計算書／〔特別収支の部〕特別収入e,19567,95,1,19664
行政コスト計算書／〔特別収支の部〕特別費用f,36356,0,-,36357
行政コスト計算書／特別収支差額(4)＝e-f,△16789,94,1,△16692
行政コスト計算書／当期収支差額(5)＝(3)＋(4),643171,△3488,17,639700
行政コスト計算書／一般会計繰入金g,-,3971,-,3971
行政コスト計算書／一般会計繰出金h,-,-,-,-
行政コスト計算書／当期繰越収支差額(5)＋g-h,643171,483,17,643671
貸借対照表／〔資産の部〕1流動資産,1426773,-,6964,1433737
貸借対照表／〔資産の部〕1流動資産現金預金,261975,-,6952,268927
貸借対照表／〔資産の部〕1流動資産その他の流動資産,1164797,-,12,1164809
貸借対照表／〔資産の部〕2固定資産,32047955,13645,9109,32070709
貸借対照表／〔資産の部〕2固定資産有形固定資産,24922624,13645,-,24936269
貸借対照表／〔資産の部〕2固定資産有形固定資産土地,18089751,-,-,18089751
貸借対照表／〔資産の部〕2固定資産有形固定資産その他の有形固定資産（建物等）,6832872,13645,-,6846517
貸借対照表／〔資産の部〕2固定資産無形固定資産,30134,-,-,30134
貸借対照表／〔資産の部〕2固定資産投資等,7095196,-,9109,7104305
貸借対照表／〔資産の部〕2固定資産投資等長期貸付金,1215918,-,9109,1225027
貸借対照表／〔資産の部〕2固定資産投資等基金,2982517,-,-,2982517
貸借対照表／〔資産の部〕2固定資産投資等その他の投資等,2896760,-,-,2896760
貸借対照表／〔資産の部〕3繰延資産,-,-,-,-
貸借対照表／資産合計,33474728,13645,16073,33504446
貸借対照表／〔負債の部〕1流動負債,431182,1060,-,432243
貸借対照表／〔負債の部〕2固定負債,6934260,3957,16032,6954250
貸借対照表／〔負債の部〕2固定負債長期借入金,5915573,2238,-,5917812
貸借対照表／〔負債の部〕2固定負債その他の固定負債,1018687,1718,16032,1036437
貸借対照表／〔負債の部〕3繰延収益,-,-,-,-
貸借対照表／負債合計,7365443,5017,16032,7386493
貸借対照表／〔正味財産の部〕正昧財産合計,26109284,8627,41,26117952
貸借対照表／〔正味財産の部〕正昧財産合計うち当期増減額,736054,555,17,736627
貸借対照表／負債・正昧財産合計,33474728,13645,16073,33504446
