会計名（費目）,事業名,事業費（千円）,特定財源国庫支出金（千円）,特定財源都債（千円）,特定財源その他（千円）,差引一般財源充当額（千円）
一般会計,,673961951,88333805,298250000,171672553,115705593
総務債,公文書館整備費,1278001,-,956000,322001,-
総務債,無線システム普及支援事業費,5027778,1621245,852000,-,2554533
総務債,計,6305779,1621245,1808000,322001,2554533
スポーツ振興債,オリンピック・パラリンピック準備費,29598485,-,1000000,26906369,1692116
都市整備債,土地区画整理事業助成費,160000,-,160000,-,-
都市整備債,区画整理費,15056496,887000,1784000,632626,11752870
都市整備債,沿道一体整備費,6696024,1586501,1271000,3838523,-
都市整備債,計,21912520,2473501,3215000,4471149,11752870
環境債,地球環境エネルギー費,242498,-,75000,-,167498
環境債,保全緑地公有化事業費,1436000,-,1436000,-,-
環境債,自然公園整備費,804900,-,62000,-,742900
環境債,廃棄物処理場等建設費,1328348,-,851000,-,477348
環境債,計,3811746,-,2424000,-,1387746
福祉保健債,災害援護資金貸付金,5000,-,3000,-,2000
福祉保健債,社会福祉施設等整備費,319171,12740,188000,-,118431
福祉保健債,計,324171,12740,191000,-,120431
産業労務債,農林費,369878,178389,76000,-,115489
土木債,道路補修費,27419000,288200,6048000,3986988,17095812
土木債,交通安全施策費,36901000,5590200,19659000,7568723,4083077
土木債,道路整備費,17584000,2097150,9826000,5204082,456768
土木債,街路整備費,210738000,44991565,102296000,61918235,1532200
土木債,橋梁整備費,25246000,2292490,11317000,320400,11316110
土木債,小笠原道路整備費,404000,40800,111000,5,252195
土木債,中小河川整備費,28346696,1762500,16080000,10504196,-
土木債,高潮防御施設費,46128000,3557500,30551000,9787196,2232304
土木債,砂防海岸整備費,8009000,966000,3074000,3969000,-
土木債,小笠原河川整備費,160000,11000,59000,-,90000
土木債,公園整備費,39948000,712500,21470000,5762889,12002611
土木債,動物園整備費,4176000,-,1551000,202515,2422485
土木債,小笠原都市公園整備費,121000,23339,62000,-,35661
土木債,計,445180696,62333244,222104000,109224229,51519223
港湾債,東京港整備費,35110782,5975892,12479000,657634,15998256
港湾債,東京港廃棄物処理場建設費,11967656,1105738,3711000,3583082,3567836
港湾債,東京港海岸保全費,17690000,2259755,7270000,4120757,4039488
港湾債,東京港埠頭株式会社貸付金,7154000,-,6638000,-,516000
港湾債,島しょ等港湾整備費,21259100,10318043,4039000,418628,6483429
港湾債,計,93181538,19659428,34137000,8780101,30605009
教育債,都立学校整備費,17497076,635443,11672000,5111311,78322
警察債,警察施設整備費,41100029,1347818,13743000,14320659,11688552
消防債,消防施設整備費,14683033,71997,7880000,2536734,4194302
特別会計,,91167370,28562393,48083012,11031175,3490790
母子父子福祉貸付資金,母子父子福祉貸付資金,4302391,-,236012,3948373,118006
と場,と場事業費,890284,-,884000,-,6284
都営住宅等事業,都営住宅等事業費,72554574,28562393,38347000,2478959,3166222
都市開発資金,都市開発用地費,1003041,-,1000000,3041,-
用地,公共用地先行取得費,12417080,-,7616000,4600802,200278
公営企業会計,,475204603,63100778,161724000,237661363,12718462
病院,病院建設改良事業,9845603,-,3451000,6394603,-
交通事業,建設改良事業,9897000,1620,6834000,2203746,857634
高速電車事業,地下鉄特例債,3062000,-,3062000,-,-
高速電車事業,地下鉄改良事業,41200000,1694158,1938000,27504014,10063828
高速電車事業,計,44262000,1694158,5000000,27504014,10063828
水道事業,水源及び浄水施設整備事業,27200000,1797000,11074000,12532000,1797000
水道事業,送配水施設整備事業,143500000,-,30727000,112773000,-
水道事業,給水設備整備事業,11300000,-,5499000,5801000,-
水道事業,計,182000000,1797000,47300000,131106000,1797000
下水道事業,下水道建設改良事業,215000000,51108000,96866000,67026000,-
下水道事業,流域下水道建設事業,14200000,8500000,2273000,3427000,-
下水道事業,計,229200000,59608000,99139000,70453000,-
合計,,1240333924,179996976,508057012,420365091,131914845
