銘柄,借換前発行額（ａ）（単位：百万円）,借換前償還年限（単位：百万円）,借換後発行額（ｂ）（単位：百万円）,借換割合（ｂ）/（ａ）（％）,償還ペースの考え方
東京再生都債第17回平成24.12.05,20000,3,17999,90,通算30年償還（新規債は１年据置、借換債は据置なし。ただし平成17年度以前は３年据置）の元金均等と実質的に同等の償還ペースとなるよう減債基金の積立及び借換債の発行を実施償還時に減債基金積立額は全額償還財源にあてる
東京都公募公債（５年）第26回平成22.07.13,19871,5,14778,74,通算30年償還（新規債は１年据置、借換債は据置なし。ただし平成17年度以前は３年据置）の元金均等と実質的に同等の償還ペースとなるよう減債基金の積立及び借換債の発行を実施償還時に減債基金積立額は全額償還財源にあてる
東京都公募公債（５年）第27回平成22.10.20,40000,5,33330,83,通算30年償還（新規債は１年据置、借換債は据置なし。ただし平成17年度以前は３年据置）の元金均等と実質的に同等の償還ペースとなるよう減債基金の積立及び借換債の発行を実施償還時に減債基金積立額は全額償還財源にあてる
東京都公募公債（５年）第28回平成23.05.24,28391,5,22156,78,通算30年償還（新規債は１年据置、借換債は据置なし。ただし平成17年度以前は３年据置）の元金均等と実質的に同等の償還ペースとなるよう減債基金の積立及び借換債の発行を実施償還時に減債基金積立額は全額償還財源にあてる
東京都公募公債第622回平成17.06.24,46981,10,27246,58,通算30年償還（新規債は１年据置、借換債は据置なし。ただし平成17年度以前は３年据置）の元金均等と実質的に同等の償還ペースとなるよう減債基金の積立及び借換債の発行を実施償還時に減債基金積立額は全額償還財源にあてる
東京都公募公債第623回平成17.07.27,47040,10,26147,56,通算30年償還（新規債は１年据置、借換債は据置なし。ただし平成17年度以前は３年据置）の元金均等と実質的に同等の償還ペースとなるよう減債基金の積立及び借換債の発行を実施償還時に減債基金積立額は全額償還財源にあてる
東京都公募公債第624回平成17.08.22,50156,10,26681,53,通算30年償還（新規債は１年据置、借換債は据置なし。ただし平成17年度以前は３年据置）の元金均等と実質的に同等の償還ペースとなるよう減債基金の積立及び借換債の発行を実施償還時に減債基金積立額は全額償還財源にあてる
東京都公募公債第625回平成17.09.28,47698,10,27659,58,通算30年償還（新規債は１年据置、借換債は据置なし。ただし平成17年度以前は３年据置）の元金均等と実質的に同等の償還ペースとなるよう減債基金の積立及び借換債の発行を実施償還時に減債基金積立額は全額償還財源にあてる
東京都公募公債第626回平成17.10.25,53238,10,29742,56,通算30年償還（新規債は１年据置、借換債は据置なし。ただし平成17年度以前は３年据置）の元金均等と実質的に同等の償還ペースとなるよう減債基金の積立及び借換債の発行を実施償還時に減債基金積立額は全額償還財源にあてる
東京都公募公債第627回平成17.11.25,66088,10,37052,56,通算30年償還（新規債は１年据置、借換債は据置なし。ただし平成17年度以前は３年据置）の元金均等と実質的に同等の償還ペースとなるよう減債基金の積立及び借換債の発行を実施償還時に減債基金積立額は全額償還財源にあてる
東京都公募公債第628回平成17.12.26,34625,10,19440,56,通算30年償還（新規債は１年据置、借換債は据置なし。ただし平成17年度以前は３年据置）の元金均等と実質的に同等の償還ペースとなるよう減債基金の積立及び借換債の発行を実施償還時に減債基金積立額は全額償還財源にあてる
東京都公募公債第629回平成18.01.27,65187,10,35699,55,通算30年償還（新規債は１年据置、借換債は据置なし。ただし平成17年度以前は３年据置）の元金均等と実質的に同等の償還ペースとなるよう減債基金の積立及び借換債の発行を実施償還時に減債基金積立額は全額償還財源にあてる
東京都公募公債第630回平成18.02.24,37838,10,21058,56,通算30年償還（新規債は１年据置、借換債は据置なし。ただし平成17年度以前は３年据置）の元金均等と実質的に同等の償還ペースとなるよう減債基金の積立及び借換債の発行を実施償還時に減債基金積立額は全額償還財源にあてる
東京都公募公債第631回平成18.03.27,56771,10,32198,57,通算30年償還（新規債は１年据置、借換債は据置なし。ただし平成17年度以前は３年据置）の元金均等と実質的に同等の償還ペースとなるよう減債基金の積立及び借換債の発行を実施償還時に減債基金積立額は全額償還財源にあてる
東京都公募公債第632回平成18.04.25,46299,10,23710,51,通算30年償還（新規債は１年据置、借換債は据置なし。ただし平成17年度以前は３年据置）の元金均等と実質的に同等の償還ペースとなるよう減債基金の積立及び借換債の発行を実施償還時に減債基金積立額は全額償還財源にあてる
東京都公募公債第633回平成18.05.26,43488,10,24351,56,通算30年償還（新規債は１年据置、借換債は据置なし。ただし平成17年度以前は３年据置）の元金均等と実質的に同等の償還ペースとなるよう減債基金の積立及び借換債の発行を実施償還時に減債基金積立額は全額償還財源にあてる
東京都公債第730回平成12.05.08,20000,15,5599,28,通算30年償還（新規債は１年据置、借換債は据置なし。ただし平成17年度以前は３年据置）の元金均等と実質的に同等の償還ペースとなるよう減債基金の積立及び借換債の発行を実施償還時に減債基金積立額は全額償還財源にあてる
東京都公債第778回平成18.03.27,18272,10,9944,54,通算30年償還（新規債は１年据置、借換債は据置なし。ただし平成17年度以前は３年据置）の元金均等と実質的に同等の償還ペースとなるよう減債基金の積立及び借換債の発行を実施償還時に減債基金積立額は全額償還財源にあてる
東京都公債第780回平成18.05.26,5906,10,3247,55,通算30年償還（新規債は１年据置、借換債は据置なし。ただし平成17年度以前は３年据置）の元金均等と実質的に同等の償還ペースとなるよう減債基金の積立及び借換債の発行を実施償還時に減債基金積立額は全額償還財源にあてる
合計,747849,,438036,59,
