区分,27年度金額（億円）,27年度構成比（％）,26年度金額（億円）,26年度構成比（％）,増減額（億円）,増減率（％）
一般歳出,44590,64.3,43805,66.8,784,1.8
人件費,14755,21.3,14582,22.2,173,1.2
投資的経費,7703,11.1,7579,11.6,124,1.6
補助費等,13419,19.4,12973,19.8,446,3.4
その他,8713,12.6,8672,13.2,41,0.5
公債費,5313,7.7,5904,9,△591,△10.0
税連動経費等,19444,28,15831,24.2,3614,22.8
歳出合計,69347,100,65540,100,3807,5.8
