,公立大学法人首都大学東京H1(百万円）,（地独）東京都立産業技術研究センターH2(百万円）,（地独）東京都健康長寿医療センターH3(百万円）,（単純合計）(H)(百万円）,総合計(A+B+C+D+E+F+G+H)(百万円）,相殺消去(百万円）,東京都全体計(百万円）
損益計算書事業収支(1)＝a-b,△1411,△1451,△440,△3303,,,
損益計算書事業収支(1)＝a-b事業収入a,24014,6834,17729,48577,,,
損益計算書事業収支(1)＝a-b事業費用b,25426,8285,18170,51881,,,
損益計算書事業収支(1)＝a-b事業費用b事業原価,23635,5237,16510,45383,,,
損益計算書事業収支(1)＝a-b事業費用b一般管理費,1790,3047,1659,6497,,,
損益計算書事業外収支(2)＝c-d,1839,2336,96,4273,,,
損益計算書事業外収支(2)＝c-d事業外収入c,1872,2342,96,4311,,,
損益計算書事業外収支(2)＝c-d事業外費用d,33,5,-,38,,,
損益計算書経常収支(1)＋(2),427,885,△343,969,,,
損益計算書特別収支(3)＝e-f,△57,0,△157,△215,,,
損益計算書特別収支(3)＝e-f特別収入e,22,0,0,24,,,
損益計算書特別収支(3)＝e-f特別費用f,79,0,158,239,,,
損益計算書当期収支差額(4)＝(1)＋(2)＋(3),370,885,△501,754,,,
損益計算書目的積立金取崩額(5),497,27,-,525,,,
損益計算書当期総利益(4)＋(5),868,912,△501,1280,,,
貸借対照表／〔資産の部〕1流動資産,6969,3386,8531,18888,3035284,,3035284
貸借対照表／〔資産の部〕1流動資産現金預金,4691,3160,6225,14076,1367042,,1367042
貸借対照表／〔資産の部〕1流動資産その他の流動資産,2278,226,2306,4811,1668242,,1668242
貸借対照表／〔資産の部〕2固定資産,148065,32502,29954,210522,46121598,△2233376,43888222
貸借対照表／〔資産の部〕2固定資産有形固定資産,142710,32001,29382,204094,38398708,,38398708
貸借対照表／〔資産の部〕2固定資産有形固定資産土地,86035,14200,10119,110354,20524621,,20524621
貸借対照表／〔資産の部〕2固定資産有形固定資産その他の有形固定資産(建物等）,56674,17801,19263,93739,17874086,,17874086
貸借対照表／〔資産の部〕2固定資産無形固定資産,260,151,510,921,131101,,131101
貸借対照表／〔資産の部〕2固定資産投資等,5095,349,60,5505,7591788,△2233376,5358412
貸借対照表／〔資産の部〕2固定資産投資等長期貸付金,-,-,39,39,1325245,,1325245
貸借対照表／〔資産の部〕2固定資産投資等基金,-,-,-,-,3023896,,3023896
貸借対照表／〔資産の部〕2固定資産投資等その他の投資等,5095,349,21,5465,3242646,△2233376,1009270
貸借対照表／〔資産の部〕3繰延資産,-,-,-,-,144,,144
貸借対照表／資産合計,155035,35888,38485,229410,49157027,△2233376,46923651
貸借対照表／〔負債の部〕1流動負債,5629,1798,4644,12071,1445579,,1445579
貸借対照表／〔負債の部〕2固定負債,13546,5727,16662,35936,11499466,,11499466
貸借対照表／〔負債の部〕2固定負債長期借入金,-,-,14665,14665,9627163,,9627163
貸借対照表／〔負債の部〕2固定負債その他の固定負債,13546,5727,1997,21271,1872302,,1872302
貸借対照表／〔負債の部〕3繰延収益,-,-,-,-,2258086,,2258086
貸借対照表／〔負債の部〕負債合計,19175,7526,21306,48008,15203132,-,15203132
貸借対照表／〔資本の部〕資本合計,135860,28362,17179,181401,33953894,△2233376,31720518
貸借対照表／〔資本の部〕資本合計うち当期増減額,△2045,182,△501,△2364,925562,,925562
貸借対照表／負債・資本合計,155035,35888,38485,229410,49157027,△2233376,46923651
