科目,27年度（億円）,26年度（億円）,増減額（億円）,増減率（％）
通常収支の部,,,,
1行政収支の部,,,,
行政収入,60501,57264,3236,5.7
地方税,51567,47399,4168,8.8
国庫支出金,2840,2758,82,3
使用料及手数料,1487,1448,39,2.7
その他,4604,5658,△1053,△18.6
行政費用,53161,51215,1945,3.8
税連動経費,14394,12905,1489,11.5
給与関係費,13140,12924,216,1.7
補助費等,10978,10322,656,6.4
投資的経費,4036,3828,208,5.4
減価償却費,1690,1631,59,3.6
不納欠損引当金繰入額,102,122,△19,△15.6
賞与引当金繰入額,834,813,20,2.5
退職給与引当金繰入額,846,1001,△154,△15.4
その他,7136,7666,△530,△6.9
2金融収支の部,,,,
金融収入,153,152,0,0
金融費用,893,989,△95,△9.6
公債費（利子）,868,968,△100,△10.3
その他,25,20,4,20
通常収支差額,6599,5211,1387,-
特別収支の部,,,,
特別収入,195,377,△181,△48
特別費用,363,449,△85,△18.9
当期収支差額,6431,5139,1291,-
（注）投資的経費とは、投資的経費補助、投資的経費単独及び投資的経費国直轄の合計額です。,,,,
