,18年度,19年度,20年度,21年度,22年度,23年度,24年度,25年度,26年度,27年度
都道府県（％）,97.8,99.7,101.4,111.9,109.9,110.0,109.6,107.5,105.2,
都（％）,84.5,80.2,84.1,96.0,94.5,95.2,92.7,86.2,84.8,81.5
