借入先別／会計別,一般会計一般普通（円）,一般会計一般転貸（円）,一般会計計（円）,特別会計母子父子福祉（円）,特別会計中小企業（円）,特別会計と場（円）,特別会計都営住宅（円）,特別会計用地（円）,特別会計計（円）,公営企業病院（円）,公営企業市場（円）,公営企業臨海地域（円）,公営企業港湾（円）,公営企業交通（円）,公営企業高速（円）,公営企業水道（円）,公営企業下水（円）,公営企業計（円）,合計（円）,構成比（％）
長期債財政融資証書,88497701511,4954120805,93451822316,-,-,1935460386,588283204,-,2523743590,23232443521,-,-,477213792,-,115104950919,146123159900,453480224994,738417993126,834393559032,9.2
長期債簡保証書,25998044,-,25998044,-,-,-,22587591903,-,22587591903,-,-,-,142961781,-,59026772675,-,186704661120,245874395576,268487985523,3.0
長期債郵貯証書,1393225442,-,1393225442,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1393225442,0.0
長期債国庫,129805518,3639568700,3769374218,29351418600,-,-,-,-,29351418600,-,-,-,-,-,-,-,-,-,33120792818,0.4
長期債地方機構証書,815484925,-,815484925,-,-,875115913,-,-,875115913,-,-,-,-,-,23629393519,-,135797417684,159426811203,161117412041,1.8
長期債中小機構証書,-,-,-,-,8360506813,-,-,-,8360506813,-,-,-,-,-,-,-,-,-,8360506813,0.1
長期債公募債券,4553894000000,-,4553894000000,-,-,345000000,509183000000,62947000000,572475000000,78866000000,205558000000,187265000000,-,39850000000,196974000000,79159000000,806668000000,1594340000000,6720709000000,74.2
長期債銀行証書,309188000000,-,309188000000,-,-,-,-,-,-,-,60000000000,-,-,-,-,-,-,60000000000,369188000000,4.1
長期債銀行債券,17500000000,-,17500000000,-,-,-,-,65000000,65000000,7580000000,-,-,-,-,-,-,-,7580000000,25145000000,0.3
長期債銀行小計,326688000000,-,326688000000,-,-,-,-,65000000,65000000,7580000000,60000000000,-,-,-,-,-,-,67580000000,394333000000,4.4
長期債外債債券,635963600000,-,635963600000,-,-,-,-,-,-,-,-,-,-,-,5000000000,-,-,5000000000,640963600000,7.1
長期債計,5607407815440,8593689505,5616001504945,29351418600,8360506813,3155576299,532358875107,63012000000,636238376819,109678443521,265558000000,187265000000,620175573,39850000000,399735117113,225282159900,1582650303798,2810639199905,9062879081669,100.0
短期債財政融資証書,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0
短期債計,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0
合計,5607407815440,8593689505,5616001504945,29351418600,8360506813,3155576299,532358875107,63012000000,636238376819,109678443521,265558000000,187265000000,620175573,39850000000,399735117113,225282159900,1582650303798,2810639199905,9062879081669,100.0
構成比（％）,61.9,0.1,62.0,0.3,0.1,0.0,5.9,0.7,7.0,1.2,2.9,2.1,0.0,0.4,4.4,2.5,17.5,31.0,100.0,
