利率別／会計別,一般会計一般普通（円）,一般会計一般転貸（円）,一般会計計（円）,特別会計母子父子福祉（円）,特別会計中小企業（円）,特別会計と場（円）,特別会計都営住宅（円）,特別会計用地（円）,特別会計計（円）,公営企業病院（円）,公営企業市場（円）,公営企業臨海地域（円）,公営企業港湾（円）,公営企業交通（円）,公営企業高速（円）,公営企業水道（円）,公営企業下水（円）,公営企業計（円）,合計（円）
0.010,-,-,-,-,-,-,-,-,-,828000000,-,-,-,-,-,-,-,828000000,828000000
0.060,-,-,-,-,-,345000000,9862000000,502000000,10709000000,-,-,-,-,-,-,-,-,-,10709000000
0.065,23480000000,-,23480000000,-,-,-,-,-,-,-,1500000000,-,-,780000000,-,1272000000,2968000000,6520000000,30000000000
0.100,-,-,-,-,-,-,-,-,-,885000000,-,-,-,-,-,-,-,885000000,885000000
0.120,55000000000,-,55000000000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55000000000
0.126,17424000000,-,17424000000,-,-,-,5000000000,-,5000000000,936000000,2000000000,-,-,-,1040000000,600000000,3000000000,7576000000,30000000000
0.130,-,-,-,-,-,-,-,-,-,934000000,-,-,-,-,-,-,-,934000000,934000000
0.180,20000000000,-,20000000000,-,-,-,-,-,-,866000000,-,-,-,-,-,-,-,866000000,20866000000
0.200,-,157000000,157000000,-,-,124000000,-,-,124000000,-,-,-,-,-,-,-,-,-,281000000
0.220,20000000000,-,20000000000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20000000000
0.238,30000000000,-,30000000000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30000000000
0.249,10000000000,-,10000000000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10000000000
0.290,-,-,-,-,-,-,3093000000,-,3093000000,-,1702000000,24705000000,-,-,-,500000000,-,26907000000,30000000000
0.316,20000000000,-,20000000000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20000000000
0.320,20000000000,-,20000000000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20000000000
0.330,-,-,-,-,-,-,-,-,-,4067000000,-,-,-,-,-,-,-,4067000000,4067000000
0.350,20000000000,-,20000000000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20000000000
0.370,1257000000,-,1257000000,-,-,-,10000000000,1077000000,11077000000,-,16566000000,-,-,-,-,1100000000,-,17666000000,30000000000
0.386,40000000000,-,40000000000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40000000000
0.400,-,43100000,43100000,-,-,374241032,-,-,374241032,-,-,-,-,-,7281193933,-,-,7281193933,7698534965
0.426,11907000000,-,11907000000,-,-,-,10389000000,-,10389000000,-,-,-,-,-,-,1055000000,16649000000,17704000000,40000000000
0.435,1323000000,-,1323000000,-,-,-,-,-,-,-,17874000000,10000000000,-,140000000,-,442000000,20221000000,48677000000,50000000000
0.436,17500000000,-,17500000000,-,-,-,-,-,-,-,10000000000,-,-,-,-,-,12500000000,22500000000,40000000000
0.444,17991000000,-,17991000000,-,-,-,4204000000,-,4204000000,-,10000000000,-,-,1372000000,-,-,6433000000,17805000000,40000000000
0.456,22181000000,-,22181000000,-,-,-,10572000000,-,10572000000,-,15000000000,-,-,-,-,-,2247000000,17247000000,50000000000
0.463,193000000,-,193000000,-,-,-,-,-,-,943000000,6135000000,7890000000,-,-,5000000000,300000000,9539000000,29807000000,30000000000
0.475,28965000000,-,28965000000,-,-,-,2286000000,-,2286000000,-,15000000000,-,-,-,-,-,3749000000,18749000000,50000000000
0.499,4124000000,-,4124000000,-,-,-,8916000000,-,8916000000,-,18000000000,-,-,-,3960000000,-,5000000000,26960000000,40000000000
0.500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1528000000,29979000000,31507000000,31507000000
0.505,5210000000,-,5210000000,-,-,-,-,-,-,-,-,34790000000,-,-,-,-,10000000000,44790000000,50000000000
0.509,21934000000,-,21934000000,-,-,-,25518000000,2548000000,28066000000,-,-,-,-,-,-,-,-,-,50000000000
0.510,30000000000,-,30000000000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30000000000
0.520,28823000000,-,28823000000,-,-,-,5878000000,-,5878000000,-,10299000000,-,-,-,-,-,5000000000,15299000000,50000000000
0.533,24731000000,-,24731000000,-,-,-,-,-,-,-,10000000000,-,-,-,-,-,5269000000,15269000000,40000000000
0.551,21251000000,-,21251000000,-,-,-,-,-,-,-,-,-,-,-,-,-,8749000000,8749000000,30000000000
0.577,32735000000,-,32735000000,-,-,-,1747000000,-,1747000000,-,-,-,-,-,-,-,5518000000,5518000000,40000000000
0.580,20000000000,-,20000000000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20000000000
0.581,50000000000,-,50000000000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50000000000
0.588,233000000,-,233000000,-,-,-,3160000000,-,3160000000,-,-,20100000000,-,-,-,-,6507000000,26607000000,30000000000
0.600,25763000341,-,25763000341,-,-,-,9478000000,-,9478000000,-,-,-,-,-,-,-,4850000000,4850000000,40091000341
0.620,30000000000,-,30000000000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30000000000
0.630,2895000000,-,2895000000,-,-,-,10000000000,-,10000000000,71000000,4020000000,-,-,1652000000,569000000,2000000000,8793000000,17105000000,30000000000
0.635,39774000000,-,39774000000,-,-,-,8657000000,1569000000,10226000000,-,-,-,-,-,-,-,-,-,50000000000
0.645,27155000000,-,27155000000,-,-,-,1076000000,-,1076000000,-,-,-,-,-,-,-,1769000000,1769000000,30000000000
0.650,2079000000,-,2079000000,-,-,-,5362000000,-,5362000000,750000000,9257000000,-,-,1552000000,-,1000000000,10000000000,22559000000,30000000000
0.660,15020000000,-,15020000000,-,-,-,14335000000,-,14335000000,-,-,-,-,-,-,1000000000,9645000000,10645000000,40000000000
0.664,30000000000,-,30000000000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30000000000
0.690,9844000000,-,9844000000,-,-,-,-,-,-,1225000000,26816000000,-,-,100000000,4702000000,500000000,6813000000,40156000000,50000000000
0.700,76083998044,234800000,76318798044,-,-,274898684,3942000000,-,4216898684,-,-,-,-,-,-,-,-,-,80535696728
0.720,-,-,-,-,-,-,17973000000,-,17973000000,-,3775000000,-,-,-,-,2126000000,16126000000,22027000000,40000000000
0.730,2633000000,-,2633000000,-,-,-,18335000000,9545000000,27880000000,-,-,-,-,-,-,557000000,8930000000,9487000000,40000000000
0.740,19712000000,-,19712000000,-,-,-,2583000000,-,2583000000,-,-,-,-,-,-,1045000000,6660000000,7705000000,30000000000
0.760,54379000000,-,54379000000,-,-,-,10709000000,-,10709000000,-,2764000000,-,-,1500000000,-,-,20648000000,24912000000,90000000000
0.770,80565000000,-,80565000000,-,-,-,15812000000,-,15812000000,2048000000,-,-,-,-,-,4055000000,17520000000,23623000000,120000000000
0.780,59179000000,-,59179000000,-,-,-,-,-,-,-,-,-,-,-,-,-,821000000,821000000,60000000000
0.800,28503476109,485574000,28989050109,-,-,-,3825000000,-,3825000000,-,-,-,-,-,-,-,7798000000,7798000000,40612050109
0.810,31160000000,-,31160000000,-,-,-,1042000000,-,1042000000,-,-,-,-,-,-,-,7798000000,7798000000,40000000000
0.820,27135000000,-,27135000000,-,-,-,887000000,-,887000000,-,-,-,-,1500000000,5628000000,-,4850000000,11978000000,40000000000
0.840,60000000000,-,60000000000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60000000000
0.860,52134000000,-,52134000000,-,-,-,14267000000,1547000000,15814000000,-,-,-,-,-,-,-,2052000000,2052000000,70000000000
0.870,65686000000,-,65686000000,-,-,-,29480000000,4834000000,34314000000,-,-,-,-,-,-,-,-,-,100000000000
0.890,37424000000,-,37424000000,-,-,-,524000000,-,524000000,-,-,-,-,-,-,-,2052000000,2052000000,40000000000
0.900,-,146000000,146000000,-,-,509049033,-,-,509049033,-,-,-,-,-,-,6875989098,-,6875989098,7531038131
0.940,34185000000,-,34185000000,-,-,-,7908000000,-,7908000000,-,-,10000000000,-,-,4369000000,-,3538000000,17907000000,60000000000
0.960,42123000000,-,42123000000,-,-,-,3327000000,-,3327000000,-,-,-,-,-,-,-,4550000000,4550000000,50000000000
0.970,11896000000,-,11896000000,-,-,-,-,-,-,10644000000,-,-,-,-,-,2000000000,15460000000,28104000000,40000000000
0.990,71336000000,-,71336000000,-,-,-,-,-,-,-,-,-,-,-,-,3583000000,25081000000,28664000000,100000000000
1.000,6891464873,555191422,7446656295,-,-,136162994,-,-,136162994,-,-,-,48530912,-,-,-,-,48530912,7631350201
1.020,63288000000,-,63288000000,-,-,-,10873000000,-,10873000000,-,-,-,-,1500000000,5742000000,-,8597000000,15839000000,90000000000
1.040,34328000000,-,34328000000,-,-,-,-,-,-,-,-,-,-,-,-,517000000,5155000000,5672000000,40000000000
1.050,35150000000,-,35150000000,-,-,-,-,-,-,-,-,-,-,-,-,-,4850000000,4850000000,40000000000
1.060,21516000000,-,21516000000,-,-,-,945000000,-,945000000,862000000,-,-,-,2500000000,5686000000,2000000000,16491000000,27539000000,50000000000
1.080,59715000000,-,59715000000,-,-,-,3480000000,-,3480000000,-,-,30000000000,-,-,-,2000000000,14805000000,46805000000,110000000000
1.100,-,-,-,-,-,113904374,4022846898,-,4136751272,-,-,-,-,-,-,-,-,-,4136751272
1.110,46293000000,-,46293000000,-,-,-,1655000000,-,1655000000,-,-,-,-,-,-,-,2052000000,2052000000,50000000000
1.120,27950000000,-,27950000000,-,-,-,383000000,-,383000000,-,-,20000000000,-,1500000000,5855000000,-,4312000000,31667000000,60000000000
1.130,36607000000,-,36607000000,-,-,-,147000000,-,147000000,-,-,20000000000,-,-,-,-,3246000000,23246000000,60000000000
1.190,39505000000,-,39505000000,-,-,-,495000000,-,495000000,-,-,-,-,-,-,-,-,-,40000000000
1.200,25157000000,-,25157000000,-,-,-,18958000000,3833000000,22791000000,274319758,-,-,-,-,9297473324,891000000,60853474804,71316267886,119264267886
1.238,30000000000,-,30000000000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30000000000
1.240,29358000000,-,29358000000,-,-,-,81000000,-,81000000,-,-,-,-,-,17763000000,-,2798000000,20561000000,50000000000
1.260,32007000000,-,32007000000,-,-,-,700000000,-,700000000,-,-,-,-,-,-,2100000000,5193000000,7293000000,40000000000
1.290,26836000000,-,26836000000,-,-,-,8223000000,-,8223000000,-,-,9780000000,-,-,-,-,5161000000,14941000000,50000000000
1.293,36948000000,-,36948000000,-,-,-,-,-,-,-,-,-,-,3052000000,-,-,-,3052000000,40000000000
1.300,20000000000,-,20000000000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20000000000
1.320,39112000000,-,39112000000,-,-,-,13937000000,4899000000,18836000000,-,-,-,-,-,-,-,2052000000,2052000000,60000000000
1.330,22363000000,-,22363000000,-,-,-,10440000000,-,10440000000,-,-,-,-,-,-,-,7197000000,7197000000,40000000000
1.350,42192000000,-,42192000000,-,129152000,-,4994000000,-,5123152000,9520000000,-,-,-,-,14136000000,2000000000,27158000000,52814000000,100129152000
1.370,18848000000,-,18848000000,-,-,-,-,-,-,-,-,-,-,-,5131000000,2000000000,14021000000,21152000000,40000000000
1.380,169525000000,-,169525000000,-,-,-,20715000000,-,20715000000,11248000000,-,-,-,4700000000,8661000000,4000000000,31151000000,59760000000,250000000000
1.390,27861000000,-,27861000000,-,-,-,-,-,-,11580000000,-,-,-,4800000000,9835000000,2000000000,3924000000,32139000000,60000000000
1.400,70023505753,113701358,70137207111,-,233888000,-,14852000000,-,15085888000,-,3063000000,-,-,-,-,4161000000,63956000000,71180000000,156403095111
1.420,33192000000,-,33192000000,-,-,-,3640000000,-,3640000000,3679000000,-,-,-,2090000000,3724000000,4000000000,19675000000,33168000000,70000000000
1.430,29760000000,-,29760000000,-,-,-,2030000000,-,2030000000,-,-,-,-,-,-,2000000000,16210000000,18210000000,50000000000
1.460,28695000000,-,28695000000,-,-,-,-,-,-,23921000000,-,-,-,3780000000,8304000000,2000000000,3300000000,41305000000,70000000000
1.500,530481581,-,530481581,-,-,22772827,-,-,22772827,-,-,-,-,-,-,-,37919000000,37919000000,38472254408
1.508,26948000000,-,26948000000,-,-,-,-,-,-,-,-,-,-,3052000000,-,-,-,3052000000,30000000000
1.510,49162000000,-,49162000000,-,-,-,11791000000,-,11791000000,-,-,-,-,-,-,-,19047000000,19047000000,80000000000
