,開始残高相当（億円）,国庫支出金（億円）,負担金及繰入金等（億円）,受贈財産評価額（億円）額,区市町村等移管相当額（億円）,内部取引勘定（億円）,その他剰余金（億円）,合計（億円）
前期末残高,190218,11256,824,3146,△851,△17,49156,253732
当期変動額,-,784,49,130,△36,△0,6431,7360
固足資産等の増減,-,784,49,130,△36,99,-,1029
都債等の増減,-,-,-,-,-,△15,-,△15
その他内部取引,-,-,-,-,-,△84,-,△84
当期収支差額,-,-,-,-,-,-,6431,6431
当期末残高,190218,12041,873,3277,△887,△18,55587,261092
