,1997平成9年度,1998平成10年度,1999平成11年度,2000平成12年度,2001平成13年度,2002平成14年度,備考
10年債(億円),5400,5050,5700,5700,4900,5000,
5年債(億円),ー,ー,ー,1000,1000,1000,
,,,,,,,平成14年度の個人向け都債「東京再生都債」を含まない。
