,病院会計Cl(百万円）,中央卸売市場会計C2(百万円）,都市再開発事業会計C3(百万円）,臨海地域開発事業会計C4(百万円）,港湾事業会計C5(百万円）,交通事業会計C6(百万円）,高速電車事業会計C7(百万円）,電気事業会計C8(百万円）,水道事業会計C9(百万円）,工業用水道事業会計C1O(百万円）,下水道事業会計C11(百万円）,（単純合計）(C)(百万円）
損益計算書営業利益(1)＝a-b,△16116,△2048,△0,△5465,811,△1932,19508,539,27917,△751,△16614,5846
損益計算書営業利益(1)＝a-b営業収益a,133446,14677,-,37852,3896,44624,143869,1522,317538,751,282517,980695
損益計算書営業利益(1)＝a-b営業費用b,149563,16725,0,43318,3084,46556,124361,982,289621,1502,299131,974848
損益計算書営業利益(1)＝a-b営業費用b事業原価,87309,115,-,40783,1784,34374,70399,867,205915,706,97548,539803
損益計算書営業利益(1)＝a-b営業費用b一般管理費,62253,16609,0,2535,1300,12182,53962,115,83705,796,201582,435044
損益計算書営業外利益(2)＝c-d,16428,2738,30,2611,494,66,6348,47,8702,751,53093,91314
損益計算書営業外利益(2)＝c-d営業外収益c,23951,3401,30,4763,561,2768,15644,47,15077,807,88888,155942
損益計算書営業外利益(2)＝c-d営業外費用d,7522,663,-,2152,66,2701,9296,0,6374,56,35794,64628
損益計算書経常収支(1)＋(2),311,689,30,△2853,1306,△1865,25856,586,36619,-,36479,97160
損益計算書特別利益(3)＝e-f,434,△411,-,△4948,△431,21,0,△0,△1908,-,△1602,△8846
損益計算書特別利益(3)＝e-f特別収益e,607,-,-,-,-,37,0,-,-,-,-,645
損益計算書特別利益(3)＝e-f特別費用f,172,411,-,4948,431,16,0,0,1908,-,1602,9491
損益計算書当期純利益(4)＝(1)＋(2)＋(3),746,277,30,△7802,875,△1844,25856,586,34711,-,34876,88314
損益計算書前期繰越利益(5),-,△7252,6355,95291,11878,△10594,△353387,-,-,-,11520,△246188
損益計算書その他未処分利益変動額(6),-,5150,-,-,292,-,-,546,31542,-,78716,116248
損益計算書当期未処分利益(4)＋(5)＋(6),746,△1825,6385,87489,13046,△12438,△327530,1133,66254,-,125114,△41625
貸借対照表／〔資産の部〕1流動資産,128975,191712,39216,177764,27653,40775,164057,4040,250872,7299,187851,1220220
貸借対照表／〔資産の部〕1流動資産現金預金,97064,164693,38915,174454,27065,25853,107938,2955,163611,6797,69365,878714
貸借対照表／〔資産の部〕1流動資産その他の流動資産,31911,27018,300,3310,588,14922,56119,1084,87261,501,118486,341505
貸借対照表／〔資産の部〕2固定資産,183328,707347,141345,858738,336166,185423,1390981,3804,2395621,23600,5650976,11877334
貸借対照表／〔資産の部〕2固定資産有形固定資産,148634,707027,141345,746539,330526,68256,1366418,3791,2339508,23171,5650335,11525554
貸借対照表／〔資産の部〕2固定資産土地,779,188071,-,746280,313888,19548,132534,99,255326,1045,552719,2210293
貸借対照表／〔資産の部〕2固定資産その他の有形固定資産（建物等）,147855,518956,141345,258,16638,48708,1233884,3692,2084182,22125,5097615,9315260
貸借対照表／〔資産の部〕2固定資産無形固定資産,259,6,-,55,62,57,967,11,54844,429,436,57131
貸借対照表／〔資産の部〕2固定資産投資等,34433,313,-,112143,5577,117109,23595,1,1267,-,204,294647
貸借対照表／〔資産の部〕2固定資産長期貸付金,-,7,-,5000,-,90000,-,-,-,-,-,95007
貸借対照表／〔資産の部〕2固定資産基金,-,-,-,-,-,-,-,-,-,-,-,-
貸借対照表／〔資産の部〕2固定資産その他の投資等,34433,306,-,107143,5577,27109,23595,1,1267,-,204,199640
貸借対照表／〔資産の部〕3繰延資産,-,16,-,-,-,-,-,-,15,-,113,144
貸借対照表／資産合計,312303,899076,180561,1036503,363820,226199,1555039,7844,2646509,30900,5838940,13097699
貸借対照表／〔負債の部〕1流動負債,31170,59011,142307,9827,1070,18313,61829,832,142127,324,300025,766841
貸借対照表／〔負債の部〕2固定負債,141853,282564,138,190807,579,59956,852197,160,289635,30,1474498,3292421
貸借対照表／〔負債の部〕2固定負債長期借入金,101767,247058,-,187265,406,37170,613609,-,207300,-,1444955,2839532
貸借対照表／〔負債の部〕2固定負債その他の固定負債,40085,35506,138,3542,172,22786,238588,160,82334,30,29542,452888
貸借対照表／〔負債の部〕3繰延収益,4275,54278,-,0,118,1983,430672,704,171152,5287,1589614,2258086
貸借対照表／負債合計,177299,395854,142446,200635,1768,80252,1344699,1697,602914,5642,3364138,6317349
貸借対照表／〔資本の部〕資本合計,135004,503221,38115,835867,362052,145946,210340,6146,2043594,25258,2474802,6780350
貸借対照表／〔資本の部〕うち当期増減額,5746,277,30,△7802,1255,6113,30341,586,36306,172,90479,163508
貸借対照表／負債・資本合計,312303,899076,180561,1036503,363820,226199,1555039,7844,2646509,30900,5838940,13097699
