区分,27年度(億円）,26年度(億円）,増減額(億円）,増減率(％）
歳入総額(A),71863,68534,3329,4.9
歳出総額（B),69347,65540,3807,5.8
形式収支（C=A-B),2515,2994,△479,-
繰り越すべき財源（D),2510,2989,△479,-
実質収支（C-D),6,5,0,-
経常収支比率（％）,81.5,84.8,-,-
