科目,27年度(億円）,26年度(億円）,増減額(億円）,増減率（％）
資産の部,,,,
1流動資産,30352,30769,△416,△1.4
2固定資産,438882,433625,5257,1.2
うち有形固定資産,383987,381980,2006,0.5
3繰延資産,1,1,△0,△0.0
資産の部合計,469236,464396,4839,1.0
負債の部,,,,
1流動負債,14455,14861,△405,△2.7
2固定負債,114994,118603,△3608,△3.0
3繰延収益,22580,22538,42,0.2
負債の部合計,152031,156003,△3972,△2.5
正味財産の部合計,317205,308392,8812,2.9
負債及び正味財産の部合計,469236,464396,4839,1.0
